,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Richarlison,30.0,br BRA,"FW,LW,LM",21-164,90,0,0,0,2,3,1,1,1,0,0,0,0,8,1,2,33.3
1,Bernard,20.0,br BRA,LW,26-043,66,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
2,Cenk Tosun,14.0,tr TUR,FW,27-136,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
3,Theo Walcott,11.0,eng ENG,RW,29-219,81,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,
4,Ademola Lookman,31.0,ng NGA,RM,21-001,9,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,100.0
5,Gylfi Sigurðsson,10.0,is ISL,"AM,CM",29-043,90,0,0,0,1,3,0,7,0,1,0,0,0,5,1,1,50.0
6,Idrissa Gana Gueye,17.0,sn SEN,"DM,CM",29-025,90,1,0,0,1,1,0,0,5,5,0,0,0,10,0,1,0.0
7,André Gomes,8.0,pt POR,DM,25-083,81,0,0,0,2,0,0,0,2,0,0,0,0,9,0,1,0.0
8,Dominic Calvert-Lewin,29.0,eng ENG,"FW,DM",21-219,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9,Lucas Digne,12.0,fr FRA,LB,25-093,90,0,0,0,1,4,0,13,0,2,0,0,0,4,3,0,100.0
10,Kurt Zouma,5.0,fr FRA,CB,23-359,90,0,0,0,3,0,0,0,2,1,0,0,0,6,2,0,100.0
11,Michael Keane,4.0,eng ENG,CB,25-283,90,0,0,0,0,0,0,0,0,2,0,0,0,5,10,5,66.7
12,Séamus Coleman,23.0,ie IRL,RB,30-010,90,1,0,0,2,4,0,3,0,2,0,1,0,13,4,6,40.0
13,Jordan Pickford,1.0,eng ENG,GK,24-228,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,2,0,0,13,17,1,29,11,13,0,1,0,72,22,16,57.9
