,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Aleksandar Mitrović,9.0,rs SRB,FW,24-006,90,26,24,2,0,0,0,0,1,0,0,0,0,16,0,0
1,André Schürrle,14.0,de GER,"RW,LW",27-320,90,25,25,0,0,0,0,3,0,0,0,0,0,17,0,2
2,Luciano Vietto,19.0,ar ARG,"AM,RW",24-291,90,43,43,0,0,0,0,5,0,0,0,0,0,31,0,0
3,Jean Seri,24.0,ci CIV,"DM,LM",27-065,90,95,87,8,2,0,1,8,0,6,5,1,0,77,0,2
4,Kevin McDonald,6.0,sct SCO,CM,29-322,45,36,32,3,3,0,0,0,0,0,0,0,0,32,1,0
5,Floyd Ayité,11.0,tg TOG,LW,29-281,45,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0
6,Stefan Johansen,8.0,no NOR,"RM,DM",27-257,63,38,36,2,1,0,0,2,0,0,0,0,0,24,0,1
7,Andre-Frank Zambo Anguissa,29.0,cm CMR,DM,22-310,27,30,30,0,0,0,0,0,0,0,0,0,0,21,0,1
8,Ryan Sessegnon,3.0,eng ENG,LB,18-127,90,70,56,13,2,0,0,6,9,2,1,0,1,46,1,1
9,Calum Chambers,5.0,eng ENG,CB,23-245,90,44,41,2,2,0,1,0,0,0,0,0,0,33,1,0
10,Alfie Mawson,26.0,eng ENG,CB,24-246,45,29,28,1,1,0,2,0,0,0,0,0,0,20,0,0
11,Denis Odoi,4.0,gh GHA,CB,30-118,45,27,25,2,2,0,0,0,0,0,0,0,0,24,0,1
12,Timothy Fosu-Mensah,21.0,nl NED,RB,20-263,90,63,54,8,0,1,0,2,8,0,0,0,0,47,1,2
13,Marcus Bettinelli,1.0,eng ENG,GK,26-121,90,37,25,11,2,0,0,0,0,0,0,0,0,24,1,0
14,14 Players,,,,,990,580,523,52,15,1,4,26,18,8,6,1,1,426,5,10
