,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Laurent Depoitre,20.0,be BEL,FW,29-303,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Isaac Mbenza,18.0,be BEL,LW,22-212,32,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
2,Rajiv van La Parra,17.0,nl NED,LW,27-124,58,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
3,Steve Mounié,24.0,bj BEN,FW,24-007,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Aaron Mooy,10.0,au AUS,RW,28-021,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
5,Alex Pritchard,21.0,eng ENG,AM,25-156,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
6,Jonathan Hogg,6.0,eng ENG,DM,29-304,90,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,0,0
7,Philip Billing,8.0,dk DEN,DM,22-117,90,1,1,0,1,0,0,1,0.0,1,3,1,2,1,2,0,0
8,Chris Löwe,15.0,de GER,LB,29-173,85,4,2,2,2,0,4,5,80.0,1,2,0,2,0,4,0,0
9,Florent Hadergjonaj,33.0,xk KVX,RB,24-067,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Christopher Schindler,26.0,de GER,CB,28-160,90,1,0,0,1,0,0,0,,0,1,1,0,0,1,3,0
11,Mathias Jørgensen,25.0,dk DEN,CB,28-166,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
12,Erik Durm,37.0,de GER,"RB,LB",26-147,90,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,4,0
13,Jonas Lössl,1.0,dk DEN,GK,29-247,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,9,4,5,4,0,6,11,54.5,5,10,2,8,10,19,7,0
