,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Laurent Depoitre,20.0,be BEL,FW,29-303,58,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
1,Isaac Mbenza,18.0,be BEL,LW,22-212,32,14,13,1,0,0,0,1,1,0,0,0,0,10,0,1
2,Rajiv van La Parra,17.0,nl NED,LW,27-124,58,22,19,3,0,0,0,1,3,0,0,0,0,20,0,0
3,Steve Mounié,24.0,bj BEN,FW,24-007,32,9,9,0,0,0,0,0,0,0,0,0,0,4,0,0
4,Aaron Mooy,10.0,au AUS,RW,28-021,90,62,55,7,1,0,0,9,1,5,3,1,0,46,0,2
5,Alex Pritchard,21.0,eng ENG,AM,25-156,90,46,44,2,0,0,0,4,0,0,0,0,0,29,0,5
6,Jonathan Hogg,6.0,eng ENG,DM,29-304,90,81,81,0,0,0,1,0,0,0,0,0,0,77,0,0
7,Philip Billing,8.0,dk DEN,DM,22-117,90,72,66,6,1,0,0,2,5,0,0,0,0,61,0,0
8,Chris Löwe,15.0,de GER,LB,29-173,85,84,65,19,2,0,1,12,12,5,4,0,1,56,0,2
9,Florent Hadergjonaj,33.0,xk KVX,RB,24-067,5,10,9,1,1,0,0,0,0,0,0,0,0,6,0,0
10,Christopher Schindler,26.0,de GER,CB,28-160,90,83,82,1,1,0,0,0,0,0,0,0,0,68,0,0
11,Mathias Jørgensen,25.0,dk DEN,CB,28-166,90,71,68,3,3,0,0,0,0,0,0,0,0,56,0,0
12,Erik Durm,37.0,de GER,"RB,LB",26-147,90,54,45,9,0,0,0,8,9,0,0,0,0,31,0,5
13,Jonas Lössl,1.0,dk DEN,GK,29-247,90,41,38,3,3,0,0,0,0,0,0,0,0,34,0,0
14,14 Players,,,,,990,655,600,55,12,0,2,37,31,10,7,1,1,504,0,15
