,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jamie Vardy,9.0,eng ENG,FW,31-247,83,20,1,1,5,14,3,20,0,0,,0,,17,104,62,1,1,0,1,1,17,9
1,Jonny Evans,6.0,nir NIR,CB,30-255,7,5,1,3,2,0,0,5,0,0,,0,,2,6,0,0,0,0,1,0,2,0
2,Demarai Gray,7.0,jm JAM,LW,22-079,60,29,0,1,14,14,3,29,0,0,,0,,21,138,57,3,1,2,2,1,21,5
3,Kelechi Iheanacho,8.0,ng NGA,"AM,FW",21-347,30,8,0,0,5,3,0,8,0,0,,0,,7,29,13,0,0,0,1,1,9,4
4,Rachid Ghezzal,31.0,dz ALG,RW,26-129,60,32,0,3,10,19,3,32,2,2,100.0,0,0.0,20,132,60,3,4,2,1,2,22,7
5,Marc Albrighton,11.0,eng ENG,RW,28-301,30,17,1,2,7,8,1,17,0,0,,0,,9,54,9,0,0,0,0,0,7,2
6,James Maddison,10.0,eng ENG,"AM,LW",21-296,90,64,0,4,33,29,3,63,2,1,50.0,1,50.0,41,232,141,3,5,0,0,2,41,10
7,Nampalys Mendy,24.0,sn SEN,DM,26-084,90,58,0,9,43,7,0,58,0,0,,0,,39,182,84,0,0,0,2,0,37,1
8,Wilfred Ndidi,25.0,ng NGA,"DM,CB",21-273,90,64,8,19,40,5,1,64,2,2,100.0,0,0.0,32,100,21,0,0,0,2,2,31,0
9,Ben Chilwell,3.0,eng ENG,LB,21-268,90,60,1,10,30,20,2,60,2,2,100.0,0,0.0,29,166,55,2,2,0,3,1,36,6
10,Harry Maguire,15.0,eng ENG,CB,25-194,90,81,6,32,45,5,4,81,1,1,100.0,0,0.0,45,262,90,1,0,0,1,0,44,1
11,Wes Morgan,5.0,jm JAM,CB,34-237,68,51,1,18,30,4,1,51,0,0,,0,,23,123,44,0,0,0,1,0,23,1
12,Ricardo Pereira,14.0,pt POR,RB,24-344,90,56,2,14,28,15,1,56,0,0,,0,,24,115,68,2,1,2,0,1,25,2
13,Kasper Schmeichel,1.0,dk DEN,GK,31-314,90,33,27,32,1,0,0,33,0,0,,0,,17,109,51,0,0,0,0,0,13,0
14,14 Players,,,,,968,578,48,148,293,143,22,577,9,8,88.9,1,11.1,326,1752,755,15,14,6,15,11,328,48
