,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Roberto Firmino,9.0,br BRA,FW,27-145,30,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,12,12,100.0,3,9,1,0,0
1,Daniel Sturridge,15.0,eng ENG,"FW,AM",29-176,60,0,0,0,0,1,1,0,0,23,0,1,0,0.0,0.0,0.0,0,0,15,18,83.3,3,13,1,0,0
2,Sadio Mané,10.0,sn SEN,LW,26-320,90,0,0,0,0,0,0,0,0,50,2,0,2,0.0,0.0,0.0,0,0,26,42,61.9,4,37,4,3,2
3,Mohamed Salah,11.0,eg EGY,"RW,FW",26-254,78,0,0,0,0,1,0,0,0,33,1,0,0,0.1,0.1,0.0,0,0,19,24,79.2,3,24,1,3,1
4,Divock Origi,27.0,be BEL,FW,23-312,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,0,0
5,Georginio Wijnaldum,5.0,nl NED,"LM,DM",28-105,90,0,0,0,0,2,0,1,0,57,1,0,0,0.1,0.1,0.0,3,0,40,46,87.0,5,40,3,7,5
6,Fabinho,3.0,br BRA,"CM,DM",25-124,90,0,0,0,0,0,0,0,0,81,4,0,3,0.0,0.0,0.0,1,0,64,72,88.9,6,58,1,1,1
7,Jordan Henderson,14.0,eng ENG,RM,28-252,71,0,0,0,0,0,0,0,0,76,2,2,1,0.0,0.0,0.0,1,0,56,71,78.9,5,53,2,1,0
8,Xherdan Shaqiri,23.0,ch SUI,RW,27-137,19,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,15,18,83.3,1,15,0,1,1
9,Andrew Robertson,26.0,sct SCO,LB,24-350,90,0,0,0,0,0,0,0,0,47,3,0,0,0.0,0.0,0.0,1,0,30,41,73.2,3,26,3,1,1
10,Virgil van Dijk,4.0,nl NED,CB,27-231,90,0,0,0,0,0,0,0,0,84,1,0,2,0.0,0.0,0.0,0,0,68,76,89.5,1,55,2,0,0
11,Joël Matip,32.0,cm CMR,CB,27-200,90,0,0,0,0,2,0,0,0,87,4,2,1,0.2,0.2,0.0,2,0,63,72,87.5,2,64,1,3,2
12,James Milner,7.0,eng ENG,RB,33-051,90,0,0,0,0,1,0,1,0,101,0,0,1,0.0,0.0,0.3,4,0,71,96,74.0,6,60,5,0,0
13,Alisson,13.0,br BRA,GK,26-145,90,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,0,0,29,32,90.6,0,24,0,0,0
14,14 Players,,,,,990,0,0,0,0,7,1,3,0,708,19,5,11,0.5,0.5,0.3,12,0,509,622,81.8,42,480,25,20,13
