,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Sergio Agüero,10.0,ar ARG,FW,30-344,90,25,23,2,0,2,0,1,0,0,0,0,0,22,0,1
1,Raheem Sterling,7.0,eng ENG,"LM,FW",24-155,90,36,35,1,0,0,0,3,1,0,0,0,0,31,0,0
2,Riyad Mahrez,26.0,dz ALG,"RM,LM",28-080,90,43,40,3,0,1,0,5,0,3,2,0,0,36,0,0
3,David Silva,21.0,es ESP,CM,33-124,77,66,66,0,0,2,0,1,0,0,0,0,0,55,0,0
4,Kevin De Bruyne,17.0,be BEL,"FW,CM",27-318,13,11,10,1,1,1,0,0,0,0,0,0,0,9,0,0
5,İlkay Gündoğan,8.0,de GER,CM,28-200,90,180,174,5,2,1,0,3,0,3,3,0,0,166,1,0
6,Bernardo Silva,20.0,pt POR,"FW,RM,CM",24-275,90,66,64,2,2,1,0,2,0,0,0,0,0,57,0,0
7,Oleksandr Zinchenko,35.0,ua UKR,LB,22-148,90,82,76,6,1,0,0,5,5,0,0,0,0,70,0,2
8,Aymeric Laporte,14.0,es ESP,CB,24-350,90,111,109,2,2,0,0,0,0,0,0,0,0,106,0,0
9,Vincent Kompany,4.0,be BEL,CB,33-032,85,84,84,0,0,0,0,0,0,0,0,0,0,83,0,0
10,Nicolás Otamendi,30.0,ar ARG,CB,31-089,5,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
11,Kyle Walker,2.0,eng ENG,RB,28-349,87,101,94,7,2,0,1,0,5,0,0,0,0,92,0,1
12,Danilo,3.0,br BRA,RB,27-301,3,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0
13,Ederson,31.0,br BRA,GK,25-268,90,18,12,6,1,0,0,0,0,0,0,0,0,17,0,0
14,14 Players,,,,,990,834,797,36,11,8,1,20,12,6,5,0,0,755,1,4
