,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Sergio Agüero,10.0,ar ARG,FW,30-127,65,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
1,Gabriel Jesus,33.0,br BRA,FW,21-187,25,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0.0
2,Raheem Sterling,7.0,eng ENG,LW,23-303,75,0,0,0,1,1,0,2,2,0,0,0,0,4,0,0,
3,Leroy Sané,19.0,de GER,LW,22-269,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0
4,Riyad Mahrez,26.0,dz ALG,RW,27-228,90,0,0,0,0,1,3,2,2,1,0,0,0,9,1,1,50.0
5,David Silva,21.0,es ESP,AM,32-272,90,0,0,0,1,1,0,3,0,1,0,0,0,5,0,0,
6,Fernandinho,25.0,br BRA,DM,33-156,90,0,0,0,4,1,0,0,3,3,0,0,0,7,2,1,66.7
7,Bernardo Silva,20.0,pt POR,DM,24-058,90,1,0,0,1,3,0,0,0,3,0,0,0,6,1,1,50.0
8,Benjamin Mendy,22.0,fr FRA,LB,24-082,90,1,0,0,1,1,0,3,2,1,0,0,0,9,2,0,100.0
9,Aymeric Laporte,14.0,es ESP,CB,24-133,90,0,0,0,0,1,0,0,3,0,0,0,0,3,5,0,100.0
10,John Stones,5.0,eng ENG,CB,24-132,90,0,0,0,1,0,0,0,1,1,0,0,0,1,5,1,83.3
11,Kyle Walker,2.0,eng ENG,RB,28-132,90,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,100.0
12,Ederson,31.0,br BRA,GK,25-051,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,13 Players,,,,,990,3,0,0,10,10,5,12,13,11,1,0,0,50,17,6,73.9
