,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Charlie Austin,10.0,eng ENG,FW,29-156,74,10,15,66.7,95,20,7,9,77.8,1,1,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1
1,Manolo Gabbiadini,20.0,it ITA,FW,27-012,16,6,8,75.0,39,6,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Stuart Armstrong,17.0,sct SCO,AM,26-253,90,36,47,76.6,581,94,18,21,85.7,14,17,82.4,2,4,50.0,0,0.0,0.0,1,4,0,0,4
3,Nathan Redmond,22.0,eng ENG,"FW,AM",24-277,90,23,34,67.6,245,36,18,23,78.3,4,6,66.7,0,2,0.0,0,0.0,0.0,0,2,0,0,1
4,Mario Lemina,18.0,ga GAB,"LM,DM",25-098,90,40,48,83.3,585,164,23,25,92.0,16,19,84.2,1,3,33.3,0,0.0,0.0,0,7,1,0,5
5,Oriol Romeu,14.0,es ESP,CM,27-075,79,42,48,87.5,625,337,24,26,92.3,15,19,78.9,2,2,100.0,0,0.0,0.1,0,13,1,0,10
6,James Ward-Prowse,16.0,eng ENG,AM,24-037,11,4,6,66.7,43,20,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0
7,Pierre Højbjerg,23.0,dk DEN,"RM,DM",23-125,90,49,70,70.0,650,192,31,34,91.2,15,25,60.0,1,3,33.3,0,0.0,0.0,1,5,1,1,3
8,Matt Targett,33.0,eng ENG,LB,23-081,90,42,61,68.9,760,388,20,25,80.0,17,23,73.9,4,10,40.0,0,0.3,0.3,4,3,1,1,5
9,Jannik Vestergaard,4.0,dk DEN,CB,26-127,90,29,40,72.5,508,228,13,16,81.3,12,15,80.0,4,8,50.0,0,0.2,0.0,2,2,0,0,2
10,Jan Bednarek,35.0,pl POL,CB,22-240,90,36,43,83.7,732,467,12,13,92.3,20,23,87.0,4,5,80.0,0,0.0,0.0,0,3,0,0,6
11,Yan Valery,43.0,tn TUN,RB,19-289,45,8,13,61.5,113,42,4,4,100.0,4,7,57.1,0,1,0.0,0,0.0,0.0,0,0,0,0,1
12,Jack Stephens,5.0,eng ENG,RB,24-315,45,23,37,62.2,396,117,11,16,68.8,10,13,76.9,2,7,28.6,0,0.0,0.0,0,1,0,0,2
13,Alex McCarthy,1.0,eng ENG,GK,29-005,90,18,31,58.1,585,500,2,2,100.0,9,9,100.0,7,20,35.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,366,501,73.1,5957,2611,191,223,85.7,138,180,76.7,27,67,40.3,0,0.5,0.5,8,41,4,2,40
