,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Danny Ings,9.0,eng ENG,FW,26-264,60,2,1,0,2,0,0,0,,0,1,0,1,1,3,0,0
1,Shane Long,7.0,ie IRL,FW,32-081,30,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
2,Nathan Redmond,22.0,eng ENG,AM,25-038,90,0,0,0,0,0,0,0,,0,3,1,2,2,2,1,0
3,Josh Sims,39.0,eng ENG,AM,22-016,60,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
4,Oriol Romeu,14.0,es ESP,CM,27-201,30,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,0,0
5,Pierre Højbjerg,23.0,dk DEN,CM,23-251,90,2,2,0,2,0,0,1,0.0,1,2,1,1,2,4,0,0
6,James Ward-Prowse,16.0,eng ENG,"CM,AM",24-163,90,2,1,1,1,0,1,4,25.0,3,3,0,3,2,4,2,0
7,Ryan Bertrand,21.0,eng ENG,WB,29-251,90,6,2,3,3,0,4,6,66.7,2,0,0,0,1,7,5,0
8,Yan Valery,43.0,tn TUN,WB,20-050,83,2,0,1,0,1,0,2,0.0,2,0,0,0,1,3,3,0
9,Jack Stephens,5.0,eng ENG,WB,25-076,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Jannik Vestergaard,4.0,dk DEN,CB,26-253,90,3,3,2,0,1,3,5,60.0,2,5,2,3,0,3,10,0
11,Maya Yoshida,3.0,jp JPN,CB,30-232,90,1,1,0,1,0,0,0,,0,2,2,0,0,1,5,0
12,Jan Bednarek,35.0,pl POL,CB,23-001,90,4,2,3,1,0,3,5,60.0,2,1,0,1,5,9,11,0
13,Angus Gunn,28.0,sct SCO,GK,23-081,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,23,13,11,10,2,12,25,48.0,13,20,7,13,14,37,38,0
