,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Son Heung-min,7.0,kr KOR,"FW,AM,LM",26-230,87,27,27,0,0,0,1,1,0,0,0,0,0,23,0,0
1,Lucas Moura,27.0,br BRA,LM,26-194,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Harry Kane,10.0,eng ENG,FW,25-210,90,24,23,1,1,0,1,1,0,0,0,0,0,18,0,0
3,Christian Eriksen,23.0,dk DEN,CM,27-009,90,57,51,6,1,2,0,4,0,5,1,0,0,50,0,1
4,Harry Winks,8.0,eng ENG,CM,23-021,61,40,38,2,0,0,0,0,0,0,0,0,0,37,0,1
5,Fernando Llorente,18.0,es ESP,FW,33-362,29,10,10,0,0,0,0,0,0,0,0,0,0,4,0,1
6,Moussa Sissoko,17.0,fr FRA,CM,29-191,90,39,37,2,0,0,0,4,2,0,0,0,0,28,0,1
7,Danny Rose,3.0,eng ENG,"WB,LB",28-236,90,59,41,18,2,0,0,9,15,1,0,0,0,43,0,1
8,Serge Aurier,24.0,ci CIV,"WB,RB",26-061,90,59,51,8,1,0,1,6,7,0,0,0,0,42,0,5
9,Jan Vertonghen,5.0,be BEL,CB,31-305,90,85,83,2,2,0,1,1,0,0,0,0,0,71,0,0
10,Toby Alderweireld,4.0,be BEL,CB,29-358,90,68,64,4,3,1,0,0,1,0,0,0,0,57,0,1
11,Juan Foyth,21.0,ar ARG,CB,21-042,75,53,52,1,1,0,0,0,0,0,0,0,0,36,0,3
12,Érik Lamela,11.0,ar ARG,RM,26-356,15,5,4,1,0,0,0,0,0,0,0,0,0,3,0,0
13,Hugo Lloris,1.0,fr FRA,GK,32-059,90,38,27,11,2,0,0,0,0,0,0,0,0,27,0,0
14,14 Players,,,,,990,566,510,56,13,3,4,26,25,6,1,0,0,440,0,14
