,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Isaac Success,10.0,ng NGA,"FW,LM,LW",22-307,90,44,1,2,21,22,2,44,2,2,100.0,0,0.0,31,158,71,3,3,1,2,1,38,8
1,Gerard Deulofeu,7.0,es ESP,"FW,RM,AM,RW",24-242,90,46,0,1,14,32,5,46,1,1,100.0,0,0.0,32,136,88,4,1,1,1,4,35,5
2,Roberto Pereyra,37.0,ar ARG,AM,27-307,67,27,0,0,10,17,2,27,1,0,0.0,1,100.0,10,62,32,2,2,0,3,2,11,3
3,Andre Gray,18.0,jm JAM,FW,27-137,23,9,0,0,3,6,5,9,0,0,,0,,5,12,0,0,0,0,0,0,8,2
4,Will Hughes,19.0,eng ENG,AM,23-207,39,26,0,3,16,7,0,26,0,0,,0,,15,30,4,0,0,0,1,1,20,1
5,Troy Deeney,9.0,eng ENG,FW,30-134,51,30,4,5,11,14,7,30,0,0,,0,,10,34,5,1,0,0,2,0,21,7
6,Nathaniel Chalobah,14.0,eng ENG,"DM,CM",23-333,90,30,1,5,19,7,1,30,0,0,,0,,18,64,30,0,2,0,0,1,21,2
7,Abdoulaye Doucouré,16.0,ml MLI,"DM,CM",25-313,90,69,4,10,43,16,2,69,2,1,50.0,1,50.0,41,204,103,0,1,0,2,3,48,0
8,José Holebas,25.0,gr GRE,LB,34-136,90,57,4,16,22,19,1,57,0,0,,0,,13,46,21,0,0,0,1,2,16,2
9,Craig Cathcart,15.0,nir NIR,CB,29-277,90,52,4,33,18,1,0,52,0,0,,0,,26,144,97,0,0,0,0,0,25,0
10,Adrian Mariappa,6.0,jm JAM,CB,32-038,90,48,2,33,14,1,1,48,0,0,,0,,28,86,57,0,0,0,0,1,29,0
11,Kiko Femenía,21.0,es ESP,RB,27-281,90,78,4,16,38,25,0,78,1,1,100.0,0,0.0,42,161,84,0,2,0,0,0,43,2
12,Ben Foster,26.0,eng ENG,GK,35-221,90,43,37,42,1,0,0,43,0,0,,0,,19,111,93,0,0,0,0,0,17,0
13,13 Players,,,,,990,559,61,166,230,167,26,559,7,5,71.4,2,28.6,290,1248,685,10,11,2,12,15,332,32
