,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Troy Deeney,9.0,eng ENG,FW,30-180,90,1,1,0,1,0,1,4,25.0,3,3,0,3,1,2,1,0
1,Gerard Deulofeu,7.0,es ESP,"FW,RW",24-288,81,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
2,Isaac Success,10.0,ng NGA,FW,22-353,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
3,Roberto Pereyra,37.0,ar ARG,"AM,LW",27-353,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
4,Ken Sema,12.0,se SWE,AM,25-087,66,1,0,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0
5,Domingos Quina,20.0,pt POR,AM,19-038,24,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0
6,Étienne Capoue,29.0,fr FRA,DM,30-168,90,1,0,1,0,0,1,3,33.3,2,3,0,3,3,4,3,0
7,Abdoulaye Doucouré,16.0,ml MLI,DM,25-359,90,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,2,1
8,José Holebas,25.0,gr GRE,LB,34-182,90,3,2,3,0,0,1,1,100.0,0,0,0,0,0,3,1,0
9,Craig Cathcart,15.0,nir NIR,CB,29-323,90,2,1,2,0,0,0,3,0.0,3,1,0,1,1,3,1,0
10,Christian Kabasele,27.0,be BEL,CB,27-305,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,Adrian Mariappa,6.0,jm JAM,CB,32-084,75,5,4,4,1,0,3,4,75.0,1,1,1,0,0,5,2,0
12,Kiko Femenía,21.0,es ESP,RB,27-327,90,1,1,1,0,0,0,1,0.0,1,0,0,0,4,5,4,0
13,Ben Foster,26.0,eng ENG,GK,35-267,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
14,14 Players,,,,,990,18,12,11,5,2,9,27,33.3,18,10,1,9,12,30,15,1
