,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Troy Deeney,9.0,eng ENG,FW,30-197,90,0,0,0,1,2,1,0,1,0,0,0,0,9,9,3,75.0
1,Gerard Deulofeu,7.0,es ESP,"FW,RW",24-305,90,0,0,0,0,1,1,3,0,0,0,0,0,6,0,1,0.0
2,Roberto Pereyra,37.0,ar ARG,"AM,LW",28-005,89,1,0,0,1,3,0,0,3,0,0,0,0,8,0,0,
3,Adam Masina,11.0,ma MAR,LW,25-010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Will Hughes,19.0,eng ENG,AM,23-270,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
5,Ken Sema,12.0,se SWE,AM,25-104,49,1,0,0,2,0,0,0,1,0,0,0,0,2,1,2,33.3
6,Tom Cleverley,8.0,eng ENG,AM,29-153,23,1,0,0,2,0,0,0,1,0,0,0,0,4,0,2,0.0
7,Étienne Capoue,29.0,fr FRA,DM,30-185,90,0,0,0,2,3,0,0,2,1,0,0,0,2,3,3,50.0
8,Abdoulaye Doucouré,16.0,ml MLI,DM,26-011,90,0,0,0,0,0,0,1,2,1,0,0,0,5,0,2,0.0
9,José Holebas,25.0,gr GRE,LB,34-199,90,0,0,0,1,0,0,12,1,1,0,0,0,1,1,2,33.3
10,Craig Cathcart,15.0,nir NIR,CB,29-340,90,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,55.6
11,Adrian Mariappa,6.0,jm JAM,CB,32-101,90,0,0,0,0,1,0,0,3,2,0,0,0,4,7,1,87.5
12,Kiko Femenía,21.0,es ESP,RB,27-344,90,1,0,0,2,1,0,0,2,2,0,0,0,4,0,1,0.0
13,Ben Foster,26.0,eng ENG,GK,35-284,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,4,0,0,11,11,2,16,16,7,0,0,1,47,26,22,54.2
