,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Troy Deeney,9.0,eng ENG,FW,30-277,90,36,34,1,0,0,1,0,1,0,0,0,0,19,1,2
1,Gerard Deulofeu,7.0,es ESP,FW,25-020,45,25,25,0,0,0,0,2,0,0,0,0,0,16,0,2
2,Andre Gray,18.0,jm JAM,FW,27-280,45,13,13,0,0,0,0,0,0,0,0,0,0,10,0,1
3,Roberto Pereyra,37.0,ar ARG,AM,28-085,45,18,18,0,0,0,1,0,0,0,0,0,0,15,0,0
4,Daryl Janmaat,2.0,nl NED,CB,29-254,45,25,23,2,1,0,0,2,1,0,0,0,0,20,0,0
5,Will Hughes,19.0,eng ENG,"CM,AM",23-350,90,55,54,1,0,0,0,2,0,0,0,0,0,44,0,2
6,Étienne Capoue,29.0,fr FRA,"DM,CM",30-265,77,54,53,1,0,0,1,0,0,0,0,0,0,50,0,0
7,Domingos Quina,20.0,pt POR,CM,19-135,13,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
8,Abdoulaye Doucouré,16.0,ml MLI,"CM,DM",26-091,90,64,63,1,1,0,1,0,0,0,0,0,0,54,0,2
9,José Holebas,25.0,gr GRE,"WB,LB",34-279,90,51,33,18,1,0,0,8,11,6,2,3,0,33,0,2
10,Craig Cathcart,15.0,nir NIR,CB,30-055,90,53,53,0,0,0,0,0,0,0,0,0,0,47,0,0
11,Adrian Mariappa,6.0,jm JAM,CB,32-181,90,26,25,1,1,0,0,0,0,0,0,0,0,21,0,0
12,Kiko Femenía,21.0,es ESP,"WB,RB",28-059,90,45,44,1,0,0,0,4,1,0,0,0,0,40,0,0
13,Ben Foster,26.0,eng ENG,GK,35-364,90,26,20,5,1,0,0,0,0,0,0,0,0,19,1,0
14,14 Players,,,,,990,502,469,31,5,0,4,18,14,6,2,3,0,396,2,11
