,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Andre Gray,18.0,jm JAM,FW,27-293,90,4,11,36.4,28,7,3,5,60.0,0,3,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
1,Troy Deeney,9.0,eng ENG,FW,30-290,10,4,8,50.0,41,3,1,2,50.0,1,3,33.3,0,1,0.0,0,0.0,0.0,1,0,0,0,0
2,Abdoulaye Doucouré,16.0,ml MLI,"CM,RM",26-104,90,37,49,75.5,475,89,18,24,75.0,11,12,91.7,1,2,50.0,0,0.0,0.0,1,0,0,0,2
3,Étienne Capoue,29.0,fr FRA,CM,30-278,90,46,56,82.1,747,295,21,23,91.3,15,18,83.3,5,7,71.4,0,0.0,0.0,0,5,1,0,8
4,Will Hughes,19.0,eng ENG,"LM,CM",23-363,90,32,36,88.9,325,93,19,22,86.4,5,6,83.3,1,1,100.0,0,0.0,0.1,1,5,0,0,2
5,Adam Masina,11.0,ma MAR,"LB,WB",25-103,85,23,32,71.9,287,78,16,17,94.1,6,9,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0
6,Ken Sema,12.0,se SWE,LB,25-197,5,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
7,Kiko Femenía,21.0,es ESP,"RM,WB",28-072,58,14,29,48.3,110,47,11,12,91.7,0,9,0.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0
8,Isaac Success,10.0,ng NGA,FW,23-098,32,9,14,64.3,133,40,6,9,66.7,3,3,100.0,0,0,,0,0.5,0.0,1,0,2,0,4
9,Craig Cathcart,15.0,nir NIR,CB,30-068,90,28,35,80.0,553,233,12,13,92.3,9,11,81.8,5,8,62.5,0,0.0,0.0,0,3,0,0,2
10,Christian Kabasele,27.0,be BEL,CB,28-050,90,10,15,66.7,218,98,5,5,100.0,3,5,60.0,2,5,40.0,0,0.1,0.0,1,2,0,0,1
11,Daryl Janmaat,2.0,nl NED,"RB,CB",29-267,90,36,47,76.6,589,256,18,20,90.0,13,16,81.3,4,9,44.4,0,0.1,0.2,1,2,4,1,3
12,Ben Foster,26.0,eng ENG,GK,36-012,90,9,36,25.0,339,337,2,2,100.0,2,3,66.7,5,30,16.7,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,910,252,369,68.3,3845,1576,132,155,85.2,68,98,69.4,23,67,34.3,0,0.7,0.5,6,18,7,1,22
