,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Marko Arnautović,7.0,at AUT,FW,29-135,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0
1,Michail Antonio,30.0,jm JAM,"LW,RM",28-157,74,0,0,0,0,0,0,0,,0,3,0,3,1,1,1,0
2,Javier Hernández,17.0,mx MEX,FW,30-092,16,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
3,Robert Snodgrass,11.0,sct SCO,RW,30-359,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Andriy Yarmolenko,20.0,ua UKR,"AM,RM",28-313,45,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
5,Felipe Anderson,8.0,br BRA,"AM,LM",25-139,90,2,0,1,1,0,0,5,0.0,5,2,0,2,0,2,0,0
6,Jack Wilshere,19.0,eng ENG,"DM,AM",26-243,63,2,2,0,1,1,1,2,50.0,1,0,0,0,2,4,0,0
7,Pedro Obiang,14.0,gq EQG,"CM,LM",26-158,27,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0
8,Carlos Sánchez,15.0,co COL,"CM,DM",32-207,90,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,1
9,Aaron Cresswell,3.0,eng ENG,LB,28-260,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
10,Issa Diop,23.0,fr FRA,CB,21-235,90,4,3,2,2,0,1,1,100.0,0,0,0,0,1,5,5,0
11,Fabián Balbuena,4.0,py PAR,CB,27-009,90,6,5,5,1,0,1,3,33.3,2,3,2,1,4,10,7,0
12,Ryan Fredericks,24.0,eng ENG,RB,25-326,90,4,2,4,0,0,2,2,100.0,0,0,0,0,0,4,3,0
13,Łukasz Fabiański,1.0,pl POL,GK,33-136,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,22,15,14,7,1,7,20,35.0,13,12,2,10,9,31,19,1
