,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Marko Arnautović,7.0,at AUT,FW,29-169,90,0,0,0,0,5,1,1,0,51,1,0,0,0.4,0.4,0.4,4,0,29,36,80.6,3,36,3,2,2
1,Felipe Anderson,8.0,br BRA,LM,25-173,90,0,0,0,0,1,0,0,0,80,2,0,2,0.1,0.1,0.5,10,0,53,72,73.6,11,47,10,2,0
2,Pedro Obiang,14.0,gq EQG,CM,26-192,59,0,0,0,0,2,0,0,0,34,4,0,0,0.2,0.2,0.0,1,0,25,26,96.2,3,13,1,1,0
3,Michail Antonio,30.0,jm JAM,"CM,RM",28-191,31,0,0,0,0,1,1,0,0,18,0,0,1,0.0,0.0,0.0,3,0,7,13,53.8,0,9,1,1,1
4,Mark Noble,16.0,eng ENG,CM,31-150,82,0,0,0,0,1,1,0,0,67,0,0,0,0.0,0.0,0.0,3,0,57,65,87.7,7,41,2,0,0
5,Robert Snodgrass,11.0,sct SCO,CM,31-028,8,0,0,0,0,0,0,1,0,9,0,0,1,0.0,0.0,0.0,1,0,5,6,83.3,1,7,0,0,0
6,Andriy Yarmolenko,20.0,ua UKR,RM,28-347,69,0,0,0,0,2,1,0,0,42,1,0,0,0.1,0.1,0.0,1,0,29,36,80.6,4,26,2,0,0
7,Lucas Pérez,27.0,es ESP,"FW,RM",30-025,21,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.2,1,0,6,8,75.0,0,6,0,0,0
8,Declan Rice,41.0,eng ENG,"DM,CM",19-264,90,0,0,0,0,0,0,0,0,66,0,0,1,0.0,0.0,0.0,1,0,55,60,91.7,6,36,1,1,1
9,Arthur Masuaku,26.0,cd COD,LB,24-332,90,0,0,0,0,1,0,0,0,78,1,4,0,0.0,0.0,0.0,2,0,60,70,85.7,6,37,0,1,1
10,Issa Diop,23.0,fr FRA,CB,21-269,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,41,46,89.1,1,18,1,0,0
11,Fabián Balbuena,4.0,py PAR,CB,27-043,90,0,0,0,0,3,0,0,0,63,1,2,1,0.5,0.5,0.1,2,0,47,52,90.4,2,34,0,0,0
12,Pablo Zabaleta,5.0,ar ARG,RB,33-262,90,0,0,0,0,0,0,0,0,49,2,2,1,0.0,0.0,0.0,1,0,28,38,73.7,3,19,0,0,0
13,Łukasz Fabiański,1.0,pl POL,GK,33-170,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,20,36,55.6,0,16,0,0,0
14,14 Players,,,,,990,0,0,0,0,17,4,2,0,657,12,8,7,1.4,1.4,1.2,30,0,462,564,81.9,47,345,21,8,5
