,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Raúl Jiménez,9.0,mx MEX,"FW,RW",27-098,90,0,0,0,0,1,2,1,1,0,0,0,0,2,0,3,0.0
1,Diogo Jota,18.0,pt POR,LW,21-250,90,0,0,0,2,1,0,3,1,0,0,0,0,3,0,5,0.0
2,Hélder Costa,10.0,ao ANG,RW,24-211,70,0,0,0,1,1,0,3,0,1,0,0,0,3,0,2,0.0
3,Léo Bonatini,33.0,br BRA,FW,24-136,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4,Jonny Castro,19.0,es ESP,LM,24-161,75,0,0,0,1,1,0,2,2,0,0,0,0,3,1,1,50.0
5,Rúben Vinagre,29.0,pt POR,LM,19-124,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,
6,Rúben Neves,8.0,pt POR,CM,21-151,90,0,0,0,1,2,0,3,1,1,0,0,0,5,0,1,0.0
7,João Moutinho,28.0,pt POR,CM,31-337,84,0,0,0,0,1,0,4,0,0,0,0,0,6,1,0,100.0
8,Morgan Gibbs-White,17.0,eng ENG,CM,18-196,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
9,Matt Doherty,2.0,ie IRL,RM,26-207,90,0,0,0,1,0,0,5,1,0,0,0,0,5,8,2,80.0
10,Willy Boly,15.0,ci CIV,CB,27-189,90,0,0,0,0,0,0,0,1,4,0,0,0,9,4,1,80.0
11,Conor Coady,16.0,eng ENG,CB,25-167,90,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,66.7
12,Ryan Bennett,5.0,eng ENG,CB,28-158,90,0,0,0,2,0,0,0,1,1,0,0,0,7,5,5,50.0
13,Rui Patrício,11.0,pt POR,GK,30-177,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,0,0,0,8,7,2,25,9,7,0,0,0,49,21,22,48.8
