,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Diogo Jota,18.0,pt POR,FW,22-046,90,44,1,3,17,25,10,44,3,1,33.3,2,66.7,18,112,88,3,1,2,5,0,30,10
1,Raúl Jiménez,9.0,mx MEX,FW,27-259,90,56,3,6,36,15,6,56,0,0,,0,,24,117,80,4,1,2,9,3,38,9
2,João Moutinho,28.0,pt POR,CM,32-133,80,58,2,13,37,9,1,58,2,1,50.0,1,50.0,18,94,49,1,1,0,2,0,33,3
3,Morgan Gibbs-White,17.0,eng ENG,CM,18-357,10,8,0,3,4,1,0,8,0,0,,0,,2,5,0,0,0,0,0,1,4,0
4,Rúben Neves,8.0,pt POR,CM,21-312,90,62,1,14,42,7,0,62,0,0,,0,,31,88,55,0,2,0,1,1,37,0
5,Leander Dendoncker,32.0,be BEL,CM,23-279,90,43,6,12,22,9,1,43,0,0,,0,,13,42,25,1,0,0,1,0,21,1
6,Rúben Vinagre,29.0,pt POR,WB,19-285,72,54,0,16,19,19,2,54,3,2,66.7,1,33.3,23,202,106,5,3,1,1,2,28,4
7,Matt Doherty,2.0,ie IRL,WB,27-003,18,14,1,4,7,3,1,14,0,0,,0,,5,16,5,0,0,0,0,1,7,1
8,Jonny Castro,19.0,es ESP,WB,24-322,90,60,5,21,27,13,0,60,1,1,100.0,0,0.0,18,102,41,2,2,0,2,1,20,1
9,Romain Saïss,27.0,ma MAR,CB,28-299,90,61,8,29,32,1,0,61,0,0,,0,,17,84,50,0,0,0,0,0,30,0
10,Conor Coady,16.0,eng ENG,CB,25-328,90,39,7,24,15,0,0,39,0,0,,0,,21,136,96,0,0,0,0,1,25,0
11,Ryan Bennett,5.0,eng ENG,CB,28-319,90,29,7,17,11,1,1,29,0,0,,0,,8,22,18,0,0,0,0,0,9,0
12,Rui Patrício,11.0,pt POR,GK,30-338,90,25,25,25,0,0,0,25,0,0,,0,,7,49,37,0,0,0,1,0,8,0
13,13 Players,,,,,990,553,66,187,269,103,22,553,9,5,55.6,4,44.4,205,1069,650,16,10,5,22,10,290,29
