,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Raúl Jiménez,9.0,mx MEX,FW,27-168,59,10,11,90.9,131,20,6,6,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,0
1,Ivan Cavaleiro,7.0,pt POR,FW,25-002,31,6,10,60.0,66,7,4,6,66.7,0,1,0.0,1,1,100.0,0,0.1,0.0,2,0,1,0,1
2,Diogo Jota,18.0,pt POR,LW,21-320,90,12,16,75.0,207,82,6,9,66.7,5,6,83.3,1,1,100.0,0,0.0,0.0,1,3,0,0,3
3,Hélder Costa,10.0,ao ANG,RW,24-281,90,22,30,73.3,308,54,10,12,83.3,7,9,77.8,1,2,50.0,0,0.0,0.0,1,2,0,0,1
4,Jonny Castro,19.0,es ESP,LM,24-231,45,10,19,52.6,120,21,9,12,75.0,1,4,25.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0
5,Rúben Vinagre,29.0,pt POR,LM,19-194,45,24,28,85.7,322,52,16,17,94.1,8,10,80.0,0,1,0.0,0,0.1,0.1,1,1,1,1,0
6,João Moutinho,28.0,pt POR,CM,32-042,90,52,71,73.2,1142,442,17,23,73.9,19,26,73.1,15,19,78.9,0,0.1,0.3,2,8,2,0,8
7,Rúben Neves,8.0,pt POR,CM,21-221,90,51,63,81.0,1170,307,14,16,87.5,23,28,82.1,13,16,81.3,0,0.0,0.0,0,4,1,0,9
8,Matt Doherty,2.0,ie IRL,RM,26-277,71,31,44,70.5,617,235,17,20,85.0,8,10,80.0,6,8,75.0,0,0.0,0.0,0,3,0,0,3
9,Adama Traoré,37.0,es ESP,RM,22-268,19,5,7,71.4,102,9,3,3,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
10,Willy Boly,15.0,ci CIV,CB,27-259,90,42,52,80.8,698,216,20,23,87.0,17,20,85.0,4,6,66.7,0,0.0,0.0,0,3,0,0,3
11,Conor Coady,16.0,eng ENG,CB,25-237,90,43,53,81.1,1164,328,7,9,77.8,19,22,86.4,17,22,77.3,0,0.0,0.0,0,3,0,0,0
12,Ryan Bennett,5.0,eng ENG,CB,28-228,90,37,47,78.7,594,187,14,17,82.4,17,21,81.0,3,5,60.0,0,0.2,0.1,1,5,0,0,2
13,Rui Patrício,11.0,pt POR,GK,30-247,90,8,18,44.4,207,154,1,1,100.0,5,5,100.0,2,12,16.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,353,469,75.3,6848,2114,144,174,82.8,134,169,79.3,64,97,66.0,0,0.6,0.7,8,32,5,1,30
