,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Alexandre Lacazette,9.0,fr FRA,FW,29-164,64,9,7,2,0,0,0,0,0,0,0,0,0,6,0,0
1,Eddie Nketiah,30.0,eng ENG,FW,21-162,26,8,6,2,0,0,0,0,0,0,0,0,0,8,0,0
2,Pierre-Emerick Aubameyang,14.0,ga GAB,LW,31-143,90,31,28,3,0,0,0,4,3,0,0,0,0,22,0,1
3,Willian,12.0,br BRA,RW,32-091,64,34,29,5,3,0,0,3,0,2,1,0,1,28,0,0
4,Nicolas Pépé,19.0,ci CIV,RW,25-163,26,13,11,2,1,0,0,4,0,1,0,0,0,6,0,0
5,Bukayo Saka,7.0,eng ENG,LM,19-064,90,36,34,2,0,0,0,4,2,0,0,0,0,26,0,0
6,Mohamed Elneny,25.0,eg EGY,CM,28-120,90,61,60,1,1,0,0,0,0,0,0,0,0,58,0,0
7,Thomas Partey,18.0,gh GHA,CM,27-148,45,36,33,3,3,0,1,0,0,0,0,0,0,29,0,2
8,Dani Ceballos,8.0,es ESP,CM,24-093,45,33,32,1,0,0,1,0,1,0,0,0,0,27,0,1
9,Héctor Bellerín,2.0,es ESP,RM,25-234,90,64,58,6,0,0,1,5,6,0,0,0,0,53,0,0
10,Kieran Tierney,3.0,sct SCO,CB,23-156,90,91,78,13,2,0,1,5,11,0,0,0,0,72,0,0
11,Gabriel Dos Santos,6.0,br BRA,CB,22-325,90,82,81,0,0,0,1,0,0,0,0,0,0,65,1,0
12,Rob Holding,16.0,eng ENG,CB,25-049,90,65,64,1,1,0,1,0,0,0,0,0,0,58,0,0
13,Bernd Leno,1.0,de GER,GK,28-249,90,25,21,4,3,0,0,0,0,0,0,0,0,23,0,0
14,14 Players,,,,,990,588,542,45,14,0,6,25,23,3,1,0,1,481,1,4
