,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Ollie Watkins,11.0,eng ENG,FW,25-045,90,16,24,66.7,187,50,11,17,64.7,5,6,83.3,0,0,,0,0.0,0.1,0,1,0,0,3
1,Jack Grealish,10.0,eng ENG,LW,25-156,90,28,36,77.8,357,67,20,23,87.0,8,11,72.7,0,2,0.0,0,0.0,0.0,0,1,1,0,3
2,Bertrand Traoré,15.0,bf BFA,RW,25-160,65,12,20,60.0,231,59,4,6,66.7,7,10,70.0,1,4,25.0,0,0.0,0.0,0,3,0,0,2
3,Trézéguet,17.0,eg EGY,RW,26-135,25,3,3,100.0,46,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,Ross Barkley,20.0,eng ENG,AM,27-070,75,19,26,73.1,239,20,14,16,87.5,4,6,66.7,0,1,0.0,0,0.1,0.0,2,2,0,0,0
5,Morgan Sanson,25.0,fr FRA,AM,26-179,15,5,5,100.0,54,2,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,John McGinn,7.0,sct SCO,DM,26-118,90,37,52,71.2,627,274,19,22,86.4,14,20,70.0,3,8,37.5,0,0.0,0.0,1,6,0,0,7
7,Douglas Luiz,6.0,br BRA,DM,22-280,90,26,37,70.3,443,138,13,15,86.7,10,15,66.7,3,5,60.0,0,0.0,0.0,0,2,0,0,4
8,Matt Targett,18.0,eng ENG,LB,25-148,90,53,65,81.5,918,417,26,30,86.7,23,26,88.5,4,6,66.7,0,0.0,0.0,0,8,1,0,11
9,Tyrone Mings,5.0,eng ENG,CB,27-337,90,33,42,78.6,609,295,11,14,78.6,17,18,94.4,4,8,50.0,0,0.0,0.1,0,0,0,0,0
10,Ezri Konsa,4.0,eng ENG,CB,23-113,90,25,32,78.1,426,146,10,12,83.3,14,18,77.8,1,2,50.0,0,0.0,0.0,0,0,0,0,2
11,Matty Cash,2.0,pl POL,RB,23-190,60,16,25,64.0,380,170,8,10,80.0,4,7,57.1,4,8,50.0,0,0.0,0.0,0,3,0,0,2
12,Ahmed Elmohamady,27.0,eg EGY,RB,33-157,30,7,14,50.0,127,56,2,3,66.7,5,9,55.6,0,2,0.0,0,0.0,0.0,0,2,0,0,2
13,Emiliano Martínez,26.0,ar ARG,GK,28-164,90,21,28,75.0,696,492,2,2,100.0,7,7,100.0,12,19,63.2,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,301,409,73.6,5340,2186,146,176,83.0,120,155,77.4,32,65,49.2,0,0.1,0.2,3,28,2,0,36
