,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Ollie Watkins,11.0,eng ENG,FW,24-293,90,0,0,0,1,1,3,1,2,1,0,0,0,3,2,9,18.2
1,Jack Grealish,10.0,eng ENG,LW,25-038,90,0,0,0,4,5,0,3,0,0,0,0,0,2,4,0,100.0
2,Trézéguet,17.0,eg EGY,RW,26-017,80,0,0,0,3,2,0,3,4,1,0,0,0,9,1,5,16.7
3,Bertrand Traoré,15.0,bf BFA,RW,25-042,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4,Ross Barkley,20.0,eng ENG,AM,26-318,90,0,0,0,2,0,0,0,3,0,0,0,0,7,0,1,0.0
5,John McGinn,7.0,sct SCO,DM,26-000,90,1,0,0,2,1,0,7,1,1,0,0,0,6,1,2,33.3
6,Douglas Luiz,6.0,br BRA,DM,22-162,90,1,0,0,2,0,0,1,2,0,0,0,0,4,0,0,
7,Matt Targett,18.0,eng ENG,LB,25-030,90,0,0,0,0,0,0,7,2,1,0,0,0,6,3,0,100.0
8,Tyrone Mings,5.0,eng ENG,CB,27-219,90,0,0,0,0,1,0,0,2,1,0,0,0,4,1,0,100.0
9,Ezri Konsa,4.0,eng ENG,CB,22-361,90,0,0,0,2,5,0,1,2,0,0,0,0,9,4,1,80.0
10,Matty Cash,2.0,pl POL,RB,23-072,90,1,0,0,2,2,0,2,6,3,0,0,0,4,2,1,66.7
11,Emiliano Martínez,26.0,ar ARG,GK,28-046,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,12 Players,,,,,990,3,0,0,18,17,3,26,24,8,0,0,0,54,18,19,48.6
