,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Ollie Watkins,11.0,eng ENG,FW,24-307,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
1,Jack Grealish,10.0,eng ENG,LW,25-052,90,1,0,0,0,1,0,0,,0,0,0,0,1,2,0,0
2,Bertrand Traoré,15.0,bf BFA,RW,25-056,28,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
3,Trézéguet,17.0,eg EGY,RW,26-031,62,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0
4,Ross Barkley,20.0,eng ENG,AM,26-332,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
5,Douglas Luiz,6.0,br BRA,DM,22-176,90,1,1,0,1,0,0,1,0.0,1,1,1,0,3,4,0,0
6,John McGinn,7.0,sct SCO,DM,26-014,90,1,1,0,1,0,0,0,,0,2,0,2,1,2,0,0
7,Matt Targett,18.0,eng ENG,LB,25-044,90,2,1,0,1,1,0,0,,0,0,0,0,0,2,1,0
8,Tyrone Mings,5.0,eng ENG,CB,27-233,90,3,2,1,2,0,1,1,100.0,0,2,0,2,0,3,1,0
9,Ezri Konsa,4.0,eng ENG,CB,23-009,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
10,Matty Cash,2.0,pl POL,RB,23-086,66,2,2,0,2,0,1,1,100.0,0,0,0,0,1,3,0,0
11,Ahmed Elmohamady,27.0,eg EGY,RB,33-053,24,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
12,Emiliano Martínez,26.0,ar ARG,GK,28-060,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,14,9,2,9,3,3,9,33.3,6,6,1,5,6,20,3,0
