,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jay Rodriguez,19.0,eng ENG,FW,31-129,74,0,0,0,0,2,0,0,1,1,0,0,0,2,2,3,40.0
1,Ashley Barnes,10.0,eng ENG,FW,31-036,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
2,Chris Wood,9.0,nz NZL,FW,28-364,90,0,0,0,0,1,0,0,0,0,0,0,0,1,6,6,50.0
3,Dwight McNeil,11.0,eng ENG,LM,21-013,90,0,0,0,0,1,0,10,1,1,0,0,0,3,0,0,
4,Josh Brownhill,8.0,eng ENG,CM,24-352,90,0,0,0,2,0,0,0,4,1,0,0,0,7,1,3,25.0
5,Ashley Westwood,18.0,eng ENG,CM,30-248,90,0,0,0,0,3,0,6,2,1,0,0,0,9,0,0,
6,Robbie Brady,12.0,ie IRL,RM,28-326,85,0,0,0,1,0,0,5,1,2,0,0,0,7,2,2,50.0
7,Josh Benson,41.0,eng ENG,RM,21-000,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
8,Charlie Taylor,3.0,eng ENG,LB,27-078,90,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,100.0
9,Ben Mee,6.0,eng ENG,CB,31-075,90,0,0,0,0,1,0,0,3,0,0,0,0,6,2,3,40.0
10,James Tarkowski,5.0,eng ENG,CB,28-016,90,0,0,0,2,0,0,0,1,0,0,0,0,1,3,3,50.0
11,Matthew Lowton,2.0,eng ENG,RB,31-179,90,0,0,0,1,0,0,2,2,1,0,0,0,9,1,0,100.0
12,Nick Pope,1.0,eng ENG,GK,28-230,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
13,13 Players,,,,,990,0,0,0,6,9,0,27,15,8,0,0,0,55,18,21,46.2
