,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Josh Maja,27.0,ng NGA,FW,22-082,45,16,0,2,8,6,3,16,0,0,,0,,8,47,14,1,1,0,4,0,12,1
1,Aleksandar Mitrović,9.0,rs SRB,FW,26-184,45,26,0,0,12,14,4,26,0,0,,0,,18,36,2,0,2,0,4,4,27,3
2,Ademola Lookman,19.0,ng NGA,LW,23-150,90,54,1,4,21,30,6,54,3,2,66.7,1,33.3,26,155,91,3,2,1,1,2,24,4
3,Ivan Cavaleiro,17.0,pt POR,RW,27-152,90,40,1,7,14,19,4,40,4,2,50.0,2,50.0,19,118,41,3,1,0,5,1,21,5
4,Andre-Frank Zambo Anguissa,29.0,cm CMR,"AM,DM",25-123,90,54,1,11,25,18,4,54,5,2,40.0,3,60.0,29,204,59,3,1,0,4,1,36,4
5,Mario Lemina,18.0,ga GAB,DM,27-199,90,55,6,14,31,12,3,55,2,2,100.0,0,0.0,24,167,92,3,0,1,4,1,23,1
6,Harrison Reed,21.0,eng ENG,DM,26-051,62,30,1,8,16,7,0,30,3,1,33.3,2,66.7,12,87,52,2,2,0,0,0,8,0
7,Ruben Loftus-Cheek,15.0,eng ENG,AM,25-055,28,15,1,1,8,7,1,15,3,2,66.7,1,33.3,6,63,8,0,0,0,0,0,11,0
8,Antonee Robinson,33.0,us USA,LB,23-223,90,53,3,15,28,10,2,53,1,1,100.0,0,0.0,15,150,102,2,0,0,3,1,18,2
9,Tosin Adarabioyo,16.0,eng ENG,CB,23-176,90,58,15,34,20,5,1,58,2,1,50.0,1,50.0,27,229,189,0,2,0,0,0,35,0
10,Joachim Andersen,5.0,dk DEN,CB,24-292,90,60,5,22,35,4,2,60,1,0,0.0,1,100.0,28,172,66,0,1,0,1,1,39,0
11,Ola Aina,34.0,ng NGA,RB,24-162,71,44,6,21,19,4,0,44,1,0,0.0,1,100.0,9,35,8,1,0,0,6,1,7,0
12,Kenny Tete,2.0,nl NED,RB,25-161,19,17,1,6,5,6,0,17,1,0,0.0,1,100.0,5,6,2,0,0,0,0,0,8,0
13,Alphonse Areola,1.0,fr FRA,GK,28-020,90,26,21,25,1,0,0,26,0,0,,0,,11,84,34,0,0,0,0,0,5,0
14,14 Players,,,,,990,548,62,170,243,142,30,548,26,13,50.0,13,50.0,237,1553,760,18,12,2,32,12,274,20
