,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Patrick Bamford,9.0,eng ENG,FW,27-238,58,12,10,2,0,0,0,0,0,0,0,0,0,11,0,0
1,Rodrigo,20.0,es ESP,FW,30-056,32,7,6,1,0,0,1,0,0,0,0,0,0,5,0,1
2,Jack Harrison,22.0,eng ENG,LM,24-162,90,49,40,9,3,0,0,12,1,5,3,0,0,32,0,2
3,Tyler Roberts,11.0,wls WAL,CM,22-109,90,30,29,1,1,0,1,0,0,0,0,0,0,24,0,1
4,Mateusz Klich,43.0,pl POL,"CM,DM",30-322,90,46,43,2,1,0,0,4,1,0,0,0,0,36,1,1
5,Stuart Dallas,15.0,nir NIR,"LB,RM",30-012,90,59,47,12,1,0,0,7,7,4,4,0,0,45,0,3
6,Robin Koch,5.0,de GER,"DM,CB",24-288,90,43,42,1,1,0,0,0,0,0,0,0,0,34,0,0
7,Ezgjan Alioski,10.0,mk MKD,LB,29-078,45,35,27,8,1,0,1,2,7,0,0,0,0,29,0,0
8,Ian Carlo Poveda,7.0,eng ENG,RM,21-081,45,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
9,Pascal Struijk,21.0,nl NED,CB,21-263,90,61,59,2,2,0,0,0,0,0,0,0,0,57,0,0
10,Diego Llorente,14.0,es ESP,CB,27-258,78,49,47,2,2,0,1,0,0,0,0,0,0,40,0,2
11,Pablo Hernández,19.0,es ESP,CM,36-020,12,15,13,2,2,0,1,0,0,0,0,0,0,14,0,0
12,Luke Ayling,2.0,eng ENG,RB,29-249,90,70,56,14,2,0,0,4,12,0,0,0,0,49,0,2
13,Illan Meslier,1.0,fr FRA,GK,21-060,90,39,25,14,1,0,0,0,0,0,0,0,0,31,0,0
14,14 Players,,,,,990,531,460,70,17,0,5,29,28,9,7,0,0,421,1,12
