,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Jamie Vardy,9.0,eng ENG,FW,33-246,90,2,0,2,2,0,0,0,0,16,0,0,1,1.6,0.0,0.1,2,1,4,8,50.0,1,5,1,0,0
1,Harvey Barnes,15.0,eng ENG,LM,22-279,90,0,0,0,0,5,2,0,0,41,2,0,2,0.5,0.5,0.0,6,1,21,30,70.0,3,30,7,4,3
2,Dennis Praet,26.0,be BEL,CM,26-122,74,0,1,0,0,2,1,0,0,46,2,1,0,0.1,0.1,0.5,3,1,31,36,86.1,2,25,1,1,1
3,James Maddison,10.0,eng ENG,CM,23-295,16,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,18,19,94.7,3,13,0,0,0
4,Youri Tielemans,8.0,be BEL,CM,23-129,90,0,0,0,0,1,1,0,0,99,1,3,1,0.1,0.1,0.0,3,1,73,92,79.3,9,64,2,3,3
5,Ayoze Pérez,17.0,es ESP,RM,27-046,66,0,0,0,0,1,0,0,0,36,0,0,1,0.1,0.1,0.0,1,0,21,30,70.0,5,24,0,1,1
6,Marc Albrighton,11.0,eng ENG,RM,30-300,24,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,7,1,0,0
7,Nampalys Mendy,24.0,sn SEN,DM,28-082,90,0,0,0,0,0,0,0,0,83,2,2,0,0.0,0.0,0.0,2,0,67,72,93.1,3,62,2,0,0
8,James Justin,2.0,eng ENG,LB,22-203,90,0,0,0,0,0,0,1,0,79,3,3,1,0.0,0.0,0.1,3,2,54,66,81.8,5,37,2,2,0
9,Çağlar Söyüncü,4.0,tr TUR,CB,24-113,90,0,0,0,0,1,0,0,0,94,2,1,0,0.1,0.1,0.0,0,0,80,88,90.9,5,69,1,0,0
10,Wilfred Ndidi,25.0,ng NGA,CB,23-272,90,0,0,0,0,0,0,0,0,103,2,2,1,0.0,0.0,0.0,0,0,83,94,88.3,2,77,0,0,0
11,Timothy Castagne,27.0,be BEL,RB,24-283,90,1,0,0,0,1,1,0,0,95,3,2,1,0.5,0.5,0.0,1,0,63,83,75.9,3,45,3,1,1
12,Kasper Schmeichel,1.0,dk DEN,GK,33-313,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,25,30,83.3,0,15,0,0,0
13,13 Players,,,,,990,3,1,2,2,11,5,1,0,751,17,14,8,2.9,1.3,0.7,22,6,546,658,83.0,42,473,20,12,9
