,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jamie Vardy,9.0,eng ENG,FW,33-358,90,16,15,1,0,0,0,2,0,0,0,0,0,12,0,1
1,Harvey Barnes,15.0,eng ENG,LW,23-025,90,36,36,0,0,0,0,1,0,0,0,0,0,24,0,2
2,Marc Albrighton,11.0,eng ENG,RW,31-046,90,36,35,1,1,0,0,5,0,0,0,0,0,21,0,4
3,James Maddison,10.0,eng ENG,AM,24-041,78,37,30,6,0,0,0,5,0,5,1,4,0,25,1,2
4,Çağlar Söyüncü,4.0,tr TUR,CB,24-225,12,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Youri Tielemans,8.0,be BEL,"DM,CM",23-241,90,64,60,4,3,1,1,2,0,1,1,0,0,47,0,1
6,Wilfred Ndidi,25.0,ng NGA,"DM,CM",24-018,90,61,59,2,2,0,0,0,0,0,0,0,0,54,0,2
7,Timothy Castagne,27.0,be BEL,"LB,LM",25-029,90,51,46,4,0,0,0,2,4,0,0,0,0,43,1,0
8,Jonny Evans,6.0,nir NIR,CB,33-000,90,68,67,1,1,0,0,0,0,0,0,0,0,59,0,0
9,Wesley Fofana,3.0,fr FRA,CB,20-017,90,60,58,2,1,0,0,0,1,0,0,0,0,52,0,0
10,James Justin,2.0,eng ENG,"RB,RM",22-315,90,64,55,8,0,0,0,4,8,0,0,0,0,51,1,2
11,Kasper Schmeichel,1.0,dk DEN,GK,34-059,90,34,25,9,5,0,0,0,0,0,0,0,0,25,0,0
12,12 Players,,,,,990,531,490,38,13,1,1,21,13,6,2,4,0,414,3,14
