,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jamie Vardy,9.0,eng ENG,FW,34-048,90,7,11,63.6,64,17,5,6,83.3,1,1,100.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0
1,Kelechi Iheanacho,14.0,ng NGA,FW,24-148,90,17,26,65.4,204,43,11,13,84.6,4,5,80.0,0,5,0.0,0,0.0,0.0,0,3,1,0,4
2,Harvey Barnes,15.0,eng ENG,LM,23-081,50,5,9,55.6,63,14,3,5,60.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1
3,Cengiz Ünder,19.0,tr TUR,RM,23-229,40,10,17,58.8,131,57,4,5,80.0,4,6,66.7,0,1,0.0,0,0.0,0.1,0,2,1,1,0
4,Youri Tielemans,8.0,be BEL,CM,23-297,90,42,58,72.4,820,184,10,14,71.4,24,29,82.8,5,11,45.5,0,0.0,0.0,0,8,0,0,4
5,Wilfred Ndidi,25.0,ng NGA,CM,24-074,90,30,40,75.0,479,83,13,17,76.5,14,15,93.3,2,5,40.0,0,0.0,0.0,2,3,0,0,1
6,Ricardo Pereira,21.0,pt POR,"LB,RM",27-145,90,23,34,67.6,345,113,13,14,92.9,7,11,63.6,2,6,33.3,0,0.0,0.0,0,0,0,0,1
7,Luke Thomas,33.0,eng ENG,LB,19-263,45,11,21,52.4,135,56,8,12,66.7,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,1
8,Marc Albrighton,11.0,eng ENG,"LM,RM",31-102,45,14,19,73.7,226,93,4,5,80.0,5,5,100.0,2,5,40.0,0,0.1,0.1,2,2,2,0,4
9,Çağlar Söyüncü,4.0,tr TUR,CB,24-281,90,61,67,91.0,1033,288,27,29,93.1,29,32,90.6,4,5,80.0,0,0.0,0.0,1,5,0,0,2
10,Jonny Evans,6.0,nir NIR,CB,33-056,68,27,32,84.4,535,147,5,5,100.0,21,22,95.5,1,5,20.0,0,0.0,0.0,0,0,0,0,3
11,Daniel Amartey,18.0,gh GHA,CB,26-069,22,16,19,84.2,294,152,7,7,100.0,7,9,77.8,1,1,100.0,0,0.0,0.0,0,1,0,0,1
12,Timothy Castagne,27.0,be BEL,RB,25-085,90,37,44,84.1,460,227,26,28,92.9,10,13,76.9,1,2,50.0,0,0.0,0.0,0,3,0,0,4
13,Kasper Schmeichel,1.0,dk DEN,GK,34-115,90,36,40,90.0,967,608,6,6,100.0,17,17,100.0,13,17,76.5,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,336,437,76.9,5756,2082,142,166,85.5,146,169,86.4,31,67,46.3,0,0.2,0.3,5,30,4,1,26
