,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Callum Wilson,13.0,eng ENG,FW,28-307,90,0,0,0,2,1,0,1,1,0,0,0,0,2,1,6,14.3
1,Joelinton,9.0,br BRA,LM,24-138,90,0,0,0,0,4,0,0,0,1,0,0,0,3,4,6,40.0
2,Matthew Longstaff,4.0,eng ENG,CM,20-284,90,0,0,0,0,3,0,2,1,1,0,0,0,12,1,3,25.0
3,Isaac Hayden,14.0,eng ENG,CM,25-283,90,1,0,0,2,0,0,2,1,0,0,0,0,1,0,0,
4,Jacob Murphy,23.0,eng ENG,RM,25-310,66,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
5,Miguel Almirón,24.0,py PAR,RM,26-324,24,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,
6,Matt Ritchie,11.0,sct SCO,LB,31-111,85,0,0,0,0,1,0,7,1,0,0,0,0,4,1,4,20.0
7,Jamal Lewis,15.0,nir NIR,LB,22-340,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Ciaran Clark,2.0,ie IRL,CB,31-095,90,1,0,0,2,0,0,0,3,2,0,0,0,3,6,5,54.5
9,Fabian Schär,5.0,ch SUI,CB,29-010,90,0,0,0,1,1,1,0,3,1,0,0,0,5,2,1,66.7
10,Federico Fernández,18.0,ar ARG,CB,31-313,90,0,0,0,2,1,0,3,0,6,0,0,0,9,4,2,66.7
11,DeAndre Yedlin,22.0,us USA,RB,27-174,90,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,
12,Karl Darlow,26.0,eng ENG,GK,30-083,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
13,13 Players,,,,,990,2,0,0,9,13,2,18,14,12,0,0,0,44,20,27,42.6
