,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Billy Sharp,10.0,eng ENG,FW,34-357,69,11,10,0,0,0,0,0,0,0,0,0,0,5,1,1
1,Oliver Burke,14.0,sct SCO,FW,23-295,21,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2,David McGoldrick,17.0,ie IRL,FW,33-059,79,22,22,0,0,0,0,0,0,0,0,0,0,18,0,1
3,Rhian Brewster,24.0,eng ENG,FW,20-301,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,John Fleck,4.0,sct SCO,CM,29-156,90,28,27,1,0,1,0,1,0,1,1,0,0,22,0,2
5,Oliver Norwood,16.0,nir NIR,CM,29-290,90,33,28,3,2,0,1,2,0,1,1,0,0,22,2,1
6,John Lundstram,7.0,eng ENG,CM,26-344,90,36,32,3,0,0,1,0,1,0,0,0,0,25,1,1
7,Kean Bryan,29.0,eng ENG,WB,24-087,52,22,20,2,0,0,0,3,2,0,0,0,0,12,0,2
8,Jayden Bogle,20.0,eng ENG,WB,20-184,38,8,6,2,0,0,0,1,2,0,0,0,0,5,0,0
9,George Baldock,2.0,gr GRE,WB,27-324,90,16,15,1,0,0,0,0,1,0,0,0,0,13,0,0
10,Ethan Ampadu,22.0,wls WAL,CB,20-135,90,29,24,5,2,0,0,0,3,0,0,0,0,21,0,1
11,Phil Jagielka,15.0,eng ENG,CB,38-163,90,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0
12,Chris Basham,6.0,eng ENG,CB,32-191,90,28,24,4,1,0,0,0,3,0,0,0,0,23,0,0
13,Aaron Ramsdale,1.0,eng ENG,GK,22-258,90,28,13,14,5,0,0,0,0,0,0,0,0,5,1,0
14,14 Players,,,,,990,281,241,35,10,1,2,7,12,2,2,0,0,185,5,9
