,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Billy Sharp,10.0,eng ENG,FW,34-363,85,8,13,61.5,105,6,4,5,80.0,3,5,60.0,0,0,,0,0.0,0.0,0,0,0,0,1
1,Oliver Burke,14.0,sct SCO,FW,23-301,5,1,2,50.0,6,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,David McGoldrick,17.0,ie IRL,"CM,FW",33-065,90,34,43,79.1,596,129,16,20,80.0,14,17,82.4,3,5,60.0,0,0.0,0.0,0,5,1,0,6
3,John Fleck,4.0,sct SCO,CM,29-162,90,67,88,76.1,997,313,37,39,94.9,28,36,77.8,1,11,9.1,0,0.2,0.3,2,12,2,0,17
4,Oliver Norwood,16.0,nir NIR,CM,29-296,45,35,38,92.1,613,152,14,15,93.3,19,19,100.0,2,4,50.0,0,0.0,0.0,0,4,0,0,4
5,Oliver McBurnie,9.0,sct SCO,FW,24-243,45,12,25,48.0,177,18,8,10,80.0,3,12,25.0,1,1,100.0,0,0.1,0.0,2,0,0,0,0
6,John Lundstram,7.0,eng ENG,CM,26-350,90,62,76,81.6,1241,284,22,23,95.7,32,35,91.4,8,17,47.1,0,0.1,0.4,2,6,1,0,2
7,Jayden Bogle,20.0,eng ENG,WB,20-190,90,30,32,93.8,515,210,17,17,100.0,10,11,90.9,3,3,100.0,0,0.0,0.0,1,4,2,0,5
8,George Baldock,2.0,gr GRE,WB,27-330,43,16,19,84.2,163,28,16,17,94.1,0,2,0.0,0,0,,0,0.0,0.0,0,1,0,0,0
9,Max Lowe,13.0,eng ENG,WB,23-267,47,21,29,72.4,323,49,14,19,73.7,6,8,75.0,1,2,50.0,0,0.1,0.1,2,1,2,1,2
10,Ethan Ampadu,22.0,wls WAL,CB,20-141,90,83,99,83.8,1534,622,30,34,88.2,44,50,88.0,9,14,64.3,0,0.0,0.0,0,7,2,0,10
11,John Egan,12.0,ie IRL,CB,28-105,90,66,77,85.7,1271,545,19,21,90.5,38,41,92.7,8,13,61.5,1,0.4,0.3,1,4,1,0,3
12,Chris Basham,6.0,eng ENG,CB,32-197,90,75,87,86.2,1369,582,36,41,87.8,30,34,88.2,9,12,75.0,1,0.1,0.1,2,5,2,0,9
13,Aaron Ramsdale,1.0,eng ENG,GK,22-264,90,14,23,60.9,309,156,1,1,100.0,11,11,100.0,2,11,18.2,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,524,651,80.5,9219,3095,235,264,89.0,238,281,84.7,47,93,50.5,2,1.1,1.3,12,49,13,1,59
