,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Billy Sharp,10.0,eng ENG,FW,35-010,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,David McGoldrick,17.0,ie IRL,"FW,AM",33-078,90,2,1,0,2,0,0,0,,0,0,0,0,0,2,1,0
2,Ben Osborn,23.0,eng ENG,"CM,LM",26-194,90,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,1,0
3,Oliver Norwood,16.0,nir NIR,CM,29-309,61,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0
4,Oliver McBurnie,9.0,sct SCO,"AM,FW",24-256,29,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
5,John Lundstram,7.0,eng ENG,CM,26-363,90,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,1,0
6,Enda Stevens,3.0,ie IRL,"WB,LB",30-221,90,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,3,0
7,Jayden Bogle,20.0,eng ENG,"WB,RB",20-203,90,6,6,3,2,1,2,4,50.0,2,0,0,0,0,6,1,0
8,Ethan Ampadu,22.0,wls WAL,CB,20-154,90,2,1,1,1,0,1,1,100.0,0,3,1,2,1,3,2,0
9,John Egan,12.0,ie IRL,CB,28-118,84,2,1,1,1,0,2,2,100.0,0,0,0,0,2,4,4,0
10,Phil Jagielka,15.0,eng ENG,CB,38-182,6,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,2,0
11,Chris Basham,6.0,eng ENG,"CB,RM",32-210,90,2,1,0,2,0,1,2,50.0,1,1,0,1,1,3,3,0
12,Aaron Ramsdale,1.0,eng ENG,GK,22-277,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,18,13,7,10,1,8,15,53.3,7,10,1,9,6,24,19,0
