,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Oliver Burke,14.0,sct SCO,FW,23-173,73,24,0,0,10,14,5,24,3,1,33.3,2,66.7,15,106,68,2,3,0,1,1,16,8
1,Billy Sharp,10.0,eng ENG,FW,34-235,17,9,0,0,3,6,2,9,1,0,0.0,1,100.0,5,32,11,1,0,2,2,0,6,2
2,David McGoldrick,17.0,ie IRL,FW,32-303,73,32,1,2,14,16,2,32,1,1,100.0,0,0.0,18,65,22,1,1,0,5,1,20,1
3,Oliver McBurnie,9.0,sct SCO,FW,24-115,17,11,1,1,4,6,2,11,0,0,,0,,4,33,26,1,1,0,0,0,8,0
4,Ben Osborn,23.0,eng ENG,CM,26-053,90,49,0,9,21,20,3,49,1,1,100.0,0,0.0,28,167,100,5,4,1,1,3,32,5
5,Sander Berge,8.0,no NOR,CM,22-226,90,47,1,6,32,13,1,47,2,2,100.0,0,0.0,28,327,202,7,5,1,1,1,25,0
6,John Lundstram,7.0,eng ENG,CM,26-222,63,39,1,4,20,16,3,39,1,1,100.0,0,0.0,25,168,72,1,2,0,1,0,28,4
7,Oliver Norwood,16.0,nir NIR,CM,29-168,27,15,2,5,9,1,0,15,0,0,,0,,6,11,2,0,0,0,0,1,9,1
8,Enda Stevens,3.0,ie IRL,WB,30-080,90,49,6,19,23,8,1,49,2,2,100.0,0,0.0,20,101,49,2,2,0,2,2,22,2
9,George Baldock,2.0,gr GRE,WB,27-202,90,47,0,9,19,19,3,47,4,4,100.0,0,0.0,18,146,50,1,3,0,3,0,20,3
10,Jack Robinson,19.0,eng ENG,CB,27-026,90,48,4,25,20,3,3,48,0,0,,0,,17,61,19,0,1,0,0,0,19,0
11,Ethan Ampadu,22.0,wls WAL,CB,20-013,90,51,11,28,22,2,1,51,0,0,,0,,27,174,136,1,0,0,1,0,25,0
12,Chris Basham,6.0,eng ENG,CB,32-069,90,44,6,15,22,7,3,44,0,0,,0,,20,183,127,3,0,0,2,1,18,2
13,Aaron Ramsdale,1.0,eng ENG,GK,22-136,90,43,39,43,0,0,0,43,0,0,,0,,20,174,102,0,0,0,0,0,8,0
14,14 Players,,,,,990,508,72,166,219,131,29,508,15,12,80.0,3,20.0,251,1748,986,25,22,4,19,10,256,28
