,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,David McGoldrick,17.0,ie IRL,FW,33-133,63,0,0,0,1,0,1,0,0,1,0,0,0,1,3,3,50.0
1,Oliver McBurnie,9.0,sct SCO,FW,24-311,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
2,Lys Mousset,11.0,fr FRA,FW,25-062,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
3,Oliver Burke,14.0,sct SCO,FW,24-004,63,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,100.0
4,Rhian Brewster,24.0,eng ENG,FW,21-010,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5,John Fleck,4.0,sct SCO,"LM,CM",29-230,90,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0
6,Oliver Norwood,16.0,nir NIR,CM,29-364,90,0,0,0,1,0,0,3,1,0,0,0,0,8,1,0,100.0
7,John Lundstram,7.0,eng ENG,"RM,CM",27-052,90,0,0,0,1,0,0,1,0,0,0,0,0,7,0,1,0.0
8,Ben Osborn,23.0,eng ENG,"AM,WB",26-249,90,0,0,0,1,1,0,1,0,1,0,0,0,6,1,3,25.0
9,George Baldock,2.0,gr GRE,"RB,WB",28-033,90,0,0,0,0,1,1,0,0,2,0,0,0,3,1,1,50.0
10,Enda Stevens,3.0,ie IRL,"LB,CB",30-276,90,0,0,0,2,1,0,1,0,1,0,0,0,5,0,3,0.0
11,John Egan,12.0,ie IRL,CB,28-173,90,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,100.0
12,Ethan Ampadu,22.0,wls WAL,CB,20-209,90,1,0,0,2,0,0,0,2,1,0,0,0,2,0,1,0.0
13,Aaron Ramsdale,1.0,eng ENG,GK,22-332,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,1,0,0,9,5,2,9,5,7,0,0,0,41,9,14,39.1
