,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Nathan Redmond,11.0,eng ENG,"FW,AM",27-029,90,44,0,3,23,19,5,44,7,4,57.1,3,42.9,26,230,103,4,0,1,1,3,33,7
1,Danny Ings,9.0,eng ENG,FW,28-255,85,31,2,3,8,20,9,31,6,4,66.7,2,33.3,18,215,75,3,2,1,3,0,21,6
2,Che Adams,10.0,sct SCO,FW,24-265,5,3,1,1,1,2,0,3,1,1,100.0,0,0.0,2,29,26,1,1,0,0,0,2,1
3,Theo Walcott,32.0,eng ENG,"LM,AM",32-019,86,36,0,6,15,15,4,36,2,0,0.0,2,100.0,16,133,47,2,3,0,3,2,25,9
4,Moussa Djenepo,12.0,ml MLI,AM,22-293,4,5,0,2,2,1,1,5,1,1,100.0,0,0.0,4,35,21,1,0,0,1,0,4,2
5,Ibrahima Diallo,27.0,fr FRA,CM,22-027,90,61,2,16,32,13,0,61,1,0,0.0,1,100.0,18,72,23,0,1,0,0,0,31,0
6,James Ward-Prowse,8.0,eng ENG,CM,26-154,90,86,5,21,42,24,2,86,0,0,,0,,36,207,107,2,1,0,1,0,49,4
7,Stuart Armstrong,17.0,sct SCO,RM,29-005,78,38,0,1,17,23,1,38,4,4,100.0,0,0.0,27,198,117,3,3,0,3,4,32,6
8,Mohammed Salisu,22.0,gh GHA,CB,21-352,12,5,0,4,1,0,0,5,1,1,100.0,0,0.0,1,15,0,0,0,0,1,0,0,0
9,Ryan Bertrand,3.0,eng ENG,"LB,WB",31-242,90,64,4,18,29,17,1,64,0,0,,0,,22,80,36,1,0,0,0,0,43,4
10,Jannik Vestergaard,4.0,dk DEN,CB,28-244,90,57,11,35,19,3,1,57,0,0,,0,,25,155,83,2,0,0,1,0,27,0
11,Jan Bednarek,35.0,pl POL,CB,24-357,90,66,14,42,21,3,2,66,0,0,,0,,17,52,28,0,0,0,0,1,22,0
12,Kyle Walker-Peters,2.0,eng ENG,"RB,WB",23-356,90,56,4,15,28,15,2,56,0,0,,0,,28,182,145,4,0,2,2,0,32,6
13,Fraser Forster,44.0,eng ENG,GK,33-018,90,42,32,39,3,0,0,42,0,0,,0,,16,147,113,0,0,0,0,0,19,0
14,14 Players,,,,,990,594,75,206,241,155,28,594,23,15,65.2,8,34.8,256,1750,924,23,11,4,16,10,340,45
