,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Harry Kane,10.0,eng ENG,FW,27-295,90,33,1,1,14,18,4,33,3,1,33.3,2,66.7,21,238,108,4,3,0,0,2,29,5
1,Son Heung-min,7.0,kr KOR,LW,28-315,90,43,0,3,15,25,5,43,1,0,0.0,1,100.0,22,147,89,4,1,2,0,0,32,7
2,Steven Bergwijn,23.0,nl NED,RW,23-223,71,33,0,3,12,18,6,33,3,3,100.0,0,0.0,21,114,68,2,1,1,2,1,23,4
3,Gareth Bale,9.0,wls WAL,RW,31-307,19,21,0,2,11,8,1,21,2,1,50.0,1,50.0,13,112,65,1,1,0,1,0,15,2
4,Dele Alli,20.0,eng ENG,AM,25-038,90,73,1,16,33,26,3,73,5,1,20.0,4,80.0,44,288,112,3,1,1,2,2,49,4
5,Pierre Højbjerg,5.0,dk DEN,DM,25-287,90,94,3,24,60,10,3,94,1,1,100.0,0,0.0,60,337,225,2,0,1,3,2,77,1
6,Harry Winks,8.0,eng ENG,DM,25-106,73,57,4,17,34,7,0,57,2,2,100.0,0,0.0,32,267,153,3,0,0,1,0,41,0
7,Tanguy Ndombele,28.0,fr FRA,DM,24-142,17,12,1,1,7,5,0,12,1,1,100.0,0,0.0,9,72,47,1,3,0,0,0,10,1
8,Sergio Reguilón,3.0,es ESP,LB,24-154,90,81,5,21,35,25,4,81,4,1,25.0,3,75.0,40,200,117,0,2,1,0,0,56,9
9,Eric Dier,15.0,eng ENG,CB,27-124,90,91,18,59,31,1,1,91,0,0,,0,,55,248,154,0,0,0,1,0,67,1
10,Toby Alderweireld,4.0,be BEL,CB,32-078,90,95,19,58,36,2,0,95,0,0,,0,,53,248,154,0,0,0,0,0,62,0
11,Japhet Tanganga,25.0,eng ENG,RB,22-049,82,51,5,18,24,11,0,51,0,0,,0,,18,85,48,1,1,0,0,0,26,3
12,Matt Doherty,2.0,ie IRL,RB,29-123,8,19,2,6,7,6,1,19,0,0,,0,,9,38,13,0,0,0,0,0,10,2
13,Hugo Lloris,1.0,fr FRA,GK,34-144,90,25,24,24,1,0,0,25,0,0,,0,,7,64,43,0,0,0,0,0,7,0
14,14 Players,,,,,990,728,83,253,320,162,28,728,22,11,50.0,11,50.0,404,2458,1396,21,13,6,10,7,504,39
