,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Hal Robson-Kanu,4.0,wls WAL,FW,31-360,81,7,10,70.0,87,28,5,6,83.3,2,4,50.0,0,0,,0,0.0,0.0,1,0,0,0,1
1,Karlan Grant,29.0,eng ENG,FW,23-240,9,1,2,50.0,8,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Matheus Pereira,12.0,pt POR,FW,25-011,90,20,29,69.0,404,169,7,8,87.5,8,9,88.9,3,9,33.3,1,0.4,0.1,4,1,0,0,3
3,Grady Diangana,11.0,cd COD,LM,23-027,72,6,12,50.0,82,18,3,6,50.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1
4,Ainsley Maitland-Niles,30.0,eng ENG,LM,23-260,18,1,3,33.3,18,0,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
5,Okay Yokuşlu,35.0,tr TUR,CM,27-068,74,14,17,82.4,197,90,10,12,83.3,1,2,50.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0
6,Jake Livermore,8.0,eng ENG,CM,31-183,16,2,5,40.0,31,2,0,0,,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0
7,Conor Gallagher,18.0,eng ENG,CM,21-099,90,10,16,62.5,205,111,3,4,75.0,3,4,75.0,3,5,60.0,0,0.1,0.1,1,2,0,0,3
8,Matt Phillips,10.0,sct SCO,RM,30-064,90,13,24,54.2,226,91,8,12,66.7,3,5,60.0,2,5,40.0,0,0.0,0.0,0,2,0,0,1
9,Conor Townsend,14.0,eng ENG,LB,28-073,90,20,29,69.0,392,265,8,8,100.0,8,13,61.5,3,7,42.9,0,0.0,0.0,0,5,0,0,2
10,Kyle Bartley,5.0,eng ENG,CB,29-359,90,6,11,54.5,181,83,1,1,100.0,2,4,50.0,3,4,75.0,0,0.0,0.0,0,2,0,0,1
11,Semi Ajayi,6.0,ng NGA,CB,27-188,90,6,12,50.0,201,178,1,4,25.0,2,2,100.0,3,4,75.0,0,0.2,0.0,1,3,1,0,2
12,Darnell Furlong,2.0,eng ENG,RB,25-197,90,17,28,60.7,375,230,5,7,71.4,9,12,75.0,3,7,42.9,0,0.2,0.0,1,3,1,1,6
13,Sam Johnstone,1.0,eng ENG,GK,28-052,90,17,43,39.5,809,711,0,0,,2,2,100.0,15,41,36.6,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,140,241,58.1,3216,1976,52,71,73.2,45,66,68.2,37,86,43.0,1,0.9,0.3,8,18,2,1,20
