,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Willian José,12.0,br BRA,FW,29-096,81,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
1,Fábio Silva,17.0,pt POR,FW,18-223,9,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
2,Adama Traoré,37.0,es ESP,AM,25-033,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
3,Pedro Neto,7.0,pt POR,AM,20-355,90,2,0,0,1,1,0,1,0.0,1,0,0,0,1,3,0,0
4,João Moutinho,28.0,pt POR,CM,34-172,90,1,0,0,0,1,0,3,0.0,3,1,0,1,1,2,0,0
5,Rúben Neves,8.0,pt POR,CM,23-351,90,1,0,0,1,0,0,2,0.0,2,3,2,1,2,3,0,0
6,Jonny Castro,19.0,es ESP,WB,26-361,89,2,1,1,0,1,1,4,25.0,3,0,0,0,1,3,1,0
7,Rayan Aït Nouri,3.0,dz ALG,WB,19-266,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Nélson Semedo,22.0,pt POR,WB,27-103,84,2,0,2,0,0,2,3,66.7,1,1,0,1,0,2,1,0
9,Ki-Jana Hoever,2.0,nl NED,WB,19-040,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Romain Saïss,27.0,ma MAR,CB,30-338,90,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,2,0
11,Conor Coady,16.0,eng ENG,CB,28-002,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
12,Leander Dendoncker,32.0,be BEL,CB,25-318,90,4,0,3,0,1,2,3,66.7,1,0,0,0,0,4,4,0
13,Rui Patrício,11.0,pt POR,GK,33-012,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,14,3,6,4,4,5,17,29.4,12,9,6,3,6,20,12,0
