,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Raúl Jiménez,9.0,mx MEX,FW,29-145,90,35,35,0,0,0,0,1,0,0,0,0,0,29,0,1
1,Pedro Neto,7.0,pt POR,"LW,RW",20-202,90,40,35,5,0,0,0,3,0,2,1,1,0,37,0,1
2,Adama Traoré,37.0,es ESP,RW,24-246,61,32,32,0,0,1,0,8,0,0,0,0,0,18,0,2
3,Fábio Silva,17.0,pt POR,LW,18-070,29,18,16,2,0,0,0,0,0,0,0,0,0,17,0,1
4,Rúben Vinagre,29.0,pt POR,LM,21-171,90,65,55,10,0,0,0,3,10,0,0,0,0,57,0,0
5,João Moutinho,28.0,pt POR,CM,34-019,72,78,74,3,2,0,0,0,0,1,0,0,0,75,1,0
6,Vitinha,20.0,pt POR,CM,20-227,18,24,24,0,0,0,0,0,0,0,0,0,0,22,0,1
7,Rúben Neves,8.0,pt POR,CM,23-198,90,116,111,5,4,0,0,0,1,0,0,0,0,99,0,3
8,Nélson Semedo,22.0,pt POR,RM,26-316,72,57,46,11,0,0,0,1,11,0,0,0,0,48,0,2
9,Ki-Jana Hoever,2.0,nl NED,RM,18-253,18,21,18,3,1,0,0,2,2,0,0,0,0,17,0,0
10,Romain Saïss,27.0,ma MAR,CB,30-185,90,75,74,0,0,0,0,0,0,0,0,0,0,60,1,0
11,Conor Coady,16.0,eng ENG,CB,27-215,90,45,45,0,0,0,0,0,0,0,0,0,0,40,0,0
12,Willy Boly,15.0,ci CIV,CB,29-237,90,49,49,0,0,0,0,0,0,0,0,0,0,44,0,0
13,Rui Patrício,11.0,pt POR,GK,32-225,90,21,14,7,2,0,0,0,0,0,0,0,0,13,0,0
14,14 Players,,,,,990,676,628,46,9,1,0,18,24,3,1,1,0,576,2,11
