,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Yoane Wissa,11.0,cd COD,FW,25-162,81,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0
1,Saman Ghoddos,14.0,ir IRN,"WB,FW",28-159,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
2,Bryan Mbeumo,19.0,cm CMR,FW,22-189,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Vitaly Janelt,27.0,de GER,CM,23-278,60,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0
4,Josh Dasilva,10.0,eng ENG,CM,23-112,30,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0
5,Christian Nørgaard,6.0,dk DEN,CM,27-339,90,10,5,5,5,0,7,8,87.5,1,2,0,2,3,13,0,1
6,Mathias Jensen,8.0,dk DEN,CM,26-042,90,6,3,3,3,0,2,9,22.2,7,2,0,2,1,7,0,0
7,Rico Henry,3.0,eng ENG,WB,24-219,90,3,2,3,0,0,1,1,100.0,0,0,0,0,1,4,6,0
8,Sergi Canós,7.0,es ESP,WB,25-010,85,3,2,0,3,0,1,2,50.0,1,2,1,1,1,4,1,0
9,Shandon Baptiste,26.0,gd GRN,FW,23-310,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Ethan Pinnock,5.0,jm JAM,CB,28-259,90,4,3,2,2,0,1,1,100.0,0,1,0,1,0,4,7,0
11,Pontus Jansson,18.0,se SWE,CB,30-364,90,1,0,1,0,0,1,2,50.0,1,2,0,2,2,3,13,0
12,Kristoffer Ajer,20.0,no NOR,CB,23-301,90,3,2,3,0,0,1,2,50.0,1,0,0,0,2,5,1,0
13,David Raya,1.0,es ESP,GK,26-150,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,31,18,17,13,1,15,30,50.0,15,14,1,13,11,42,29,1
