,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Yoane Wissa,11.0,cd COD,FW,25-162,81,6,10,60.0,69,13,4,7,57.1,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
1,Saman Ghoddos,14.0,ir IRN,"WB,FW",28-159,9,2,2,100.0,12,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Bryan Mbeumo,19.0,cm CMR,FW,22-189,90,18,29,62.1,243,65,13,16,81.3,3,7,42.9,1,3,33.3,0,0.5,0.5,3,0,1,1,0
3,Vitaly Janelt,27.0,de GER,CM,23-278,60,14,17,82.4,214,16,9,9,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0
4,Josh Dasilva,10.0,eng ENG,CM,23-112,30,6,12,50.0,115,12,2,2,100.0,4,8,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1
5,Christian Nørgaard,6.0,dk DEN,CM,27-339,90,39,49,79.6,479,150,31,35,88.6,6,7,85.7,2,4,50.0,0,0.0,0.0,0,4,0,0,3
6,Mathias Jensen,8.0,dk DEN,CM,26-042,90,34,45,75.6,641,250,16,18,88.9,10,13,76.9,7,12,58.3,0,0.9,0.7,2,3,2,1,7
7,Rico Henry,3.0,eng ENG,WB,24-219,90,30,40,75.0,410,133,20,24,83.3,7,11,63.6,2,3,66.7,0,0.0,0.1,1,3,1,0,3
8,Sergi Canós,7.0,es ESP,WB,25-010,85,22,35,62.9,285,150,14,16,87.5,6,11,54.5,1,3,33.3,0,0.1,0.2,1,2,2,0,4
9,Shandon Baptiste,26.0,gd GRN,FW,23-310,5,2,2,100.0,18,4,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
10,Ethan Pinnock,5.0,jm JAM,CB,28-259,90,35,52,67.3,635,231,9,15,60.0,22,29,75.9,2,6,33.3,0,0.0,0.0,0,2,0,0,3
11,Pontus Jansson,18.0,se SWE,CB,30-364,90,21,33,63.6,359,32,9,10,90.0,12,20,60.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1
12,Kristoffer Ajer,20.0,no NOR,CB,23-301,90,29,46,63.0,444,246,15,21,71.4,11,19,57.9,2,2,100.0,0,0.0,0.1,0,2,2,1,5
13,David Raya,1.0,es ESP,GK,26-150,90,28,45,62.2,958,684,4,4,100.0,9,9,100.0,15,32,46.9,0,0.0,0.0,0,2,0,0,1
14,14 Players,,,,,990,286,417,68.6,4882,1986,150,181,82.9,96,141,68.1,33,72,45.8,0,1.6,1.6,7,19,8,3,28
