,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Ivan Toney,17.0,eng ENG,FW,25-186,90,28,28,0,0,2,0,0,0,0,0,0,0,18,0,1
1,Bryan Mbeumo,19.0,cm CMR,FW,22-042,90,22,22,0,0,1,0,1,0,0,0,0,0,14,0,0
2,Vitaly Janelt,27.0,de GER,"CM,LM",23-131,90,28,28,0,0,1,0,0,0,0,0,0,0,22,0,0
3,Christian Nørgaard,6.0,dk DEN,CM,27-192,90,49,46,3,2,0,0,0,0,0,0,0,0,44,0,0
4,Shandon Baptiste,26.0,gd GRN,CM,23-163,63,18,18,0,0,0,0,0,0,0,0,0,0,15,0,1
5,Rico Henry,3.0,eng ENG,"WB,LB",24-072,74,22,21,1,0,0,0,0,1,0,0,0,0,19,0,1
6,Mads Roerslev,30.0,dk DEN,LB,22-086,16,3,2,1,0,0,0,0,1,0,0,0,0,2,0,1
7,Sergi Canós,7.0,es ESP,WB,24-228,67,27,21,5,2,1,0,6,1,2,2,0,0,8,1,3
8,Frank Onyeka,15.0,ng NGA,RM,23-260,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Ethan Pinnock,5.0,jm JAM,CB,28-112,90,42,37,5,1,0,1,0,4,0,0,0,0,35,0,0
10,Pontus Jansson,18.0,se SWE,CB,30-217,81,33,33,0,0,0,0,0,0,0,0,0,0,28,0,0
11,Mathias Jørgensen,22.0,dk DEN,CB,31-148,9,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0
12,Kristoffer Ajer,20.0,no NOR,"CB,RB",23-154,90,28,19,9,0,0,0,0,9,0,0,0,0,16,0,0
13,David Raya,1.0,es ESP,GK,26-003,90,48,31,16,5,0,0,0,0,0,0,0,0,33,1,0
14,14 Players,,,,,963,353,310,41,11,5,1,7,16,2,2,0,0,256,2,8
