,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Neal Maupay,9.0,fr FRA,FW,25-112,90,21,19,2,0,0,0,0,0,0,0,0,0,14,0,1
1,Leandro Trossard,11.0,be BEL,"FW,CM",27-000,90,30,29,1,1,0,0,5,0,0,0,0,0,18,0,2
2,Pascal Groß,13.0,de GER,CM,30-172,54,26,24,2,0,0,0,2,0,2,0,2,0,23,0,1
3,Aaron Connolly,7.0,ie IRL,FW,21-310,36,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
4,Yves Bissouma,8.0,ml MLI,CM,25-096,90,46,45,1,1,0,0,0,0,0,0,0,0,41,0,0
5,Enock Mwepu,12.0,zm ZAM,"CM,CB",23-337,90,43,42,1,0,0,0,0,1,0,0,0,0,21,0,1
6,Marc Cucurella,3.0,es ESP,WB,23-135,90,62,51,11,0,0,0,3,11,0,0,0,0,49,0,3
7,Tariq Lamptey,2.0,gh GHA,WB,21-065,62,19,17,2,0,0,0,1,2,0,0,0,0,12,0,1
8,Solly March,20.0,eng ENG,WB,27-137,28,11,7,4,1,0,0,0,3,0,0,0,0,8,0,0
9,Dan Burn,33.0,eng ENG,CB,29-209,90,47,43,4,2,0,0,0,2,0,0,0,0,29,0,1
10,Shane Duffy,24.0,ie IRL,CB,29-337,90,51,47,4,1,0,0,0,3,0,0,0,0,42,0,1
11,Joël Veltman,34.0,nl NED,CB,29-323,77,45,28,17,2,0,0,0,15,0,0,0,0,33,0,1
12,Jakub Moder,15.0,pl POL,CM,22-241,13,6,5,1,1,0,0,1,0,0,0,0,0,3,0,0
13,Robert Sánchez,1.0,es ESP,GK,24-016,90,48,33,15,5,0,0,0,0,0,0,0,0,23,0,0
14,14 Players,,,,,990,461,396,65,14,0,0,12,37,2,0,2,0,321,0,12
