,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Alexis Mac Allister,10.0,ar ARG,FW,23-113,90,3,1,0,1,2,3,3,100.0,0,1,0,1,0,3,0,0
1,Enock Mwepu,12.0,zm ZAM,FW,24-105,45,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
2,Danny Welbeck,18.0,eng ENG,FW,31-141,45,1,0,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0
3,Moisés Caicedo,25.0,ec ECU,CM,20-165,77,2,1,0,2,0,1,3,33.3,2,3,0,3,2,4,0,0
4,Adam Lallana,14.0,eng ENG,CM,33-341,13,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
5,Yves Bissouma,8.0,ml MLI,CM,25-229,90,3,2,2,1,0,1,2,50.0,1,0,0,0,4,7,1,0
6,Pascal Groß,13.0,de GER,CM,30-305,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
7,Leandro Trossard,11.0,be BEL,WB,27-133,90,2,1,1,0,1,0,1,0.0,1,3,1,2,0,2,2,0
8,Tariq Lamptey,2.0,gh GHA,WB,21-198,81,2,2,1,1,0,0,1,0.0,1,1,0,1,0,2,2,0
9,Solly March,20.0,eng ENG,WB,27-270,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
10,Marc Cucurella,3.0,es ESP,CB,23-268,90,3,2,2,1,0,1,1,100.0,0,2,0,2,1,4,2,0
11,Lewis Dunk,5.0,eng ENG,CB,30-146,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
12,Joël Veltman,34.0,nl NED,CB,30-091,90,1,1,1,0,0,0,0,,0,1,1,0,0,1,1,0
13,Robert Sánchez,1.0,es ESP,GK,24-149,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
14,14 Players,,,,,990,17,10,7,7,3,6,15,40.0,9,16,2,14,9,26,13,0
