,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Joe Gelhardt,30.0,eng ENG,FW,19-228,90,11,17,64.7,89,2,9,10,90.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0
1,Jack Harrison,22.0,eng ENG,LW,25-028,30,1,2,50.0,4,4,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Crysencio Summerville,38.0,nl NED,LW,20-049,50,17,23,73.9,184,58,11,13,84.6,4,5,80.0,0,1,0.0,0,0.0,0.0,1,1,2,0,3
3,Liam McCarron,45.0,sct SCO,LW,20-286,10,2,2,100.0,42,0,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
4,Raphinha,10.0,br BRA,RW,25-004,90,21,36,58.3,350,181,8,11,72.7,11,15,73.3,1,4,25.0,0,0.0,0.0,0,5,2,0,8
5,Tyler Roberts,11.0,wls WAL,AM,22-340,90,21,28,75.0,255,86,11,14,78.6,5,7,71.4,1,2,50.0,0,0.0,0.0,0,3,1,0,4
6,Adam Forshaw,4.0,eng ENG,DM,30-071,90,37,43,86.0,704,268,13,15,86.7,13,13,100.0,8,11,72.7,0,0.4,0.0,1,4,0,0,2
7,Mateusz Klich,43.0,pl POL,DM,31-188,77,34,41,82.9,410,108,17,20,85.0,10,13,76.9,0,0,,0,0.3,0.1,3,0,2,1,1
8,Sam Greenwood,42.0,eng ENG,DM,19-326,13,5,7,71.4,76,0,2,2,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
9,Stuart Dallas,15.0,nir NIR,LB,30-243,90,36,44,81.8,446,154,21,24,87.5,13,15,86.7,0,2,0.0,0,0.0,0.0,1,2,0,0,2
10,Luke Ayling,2.0,eng ENG,CB,30-115,90,49,61,80.3,807,423,21,23,91.3,24,24,100.0,3,12,25.0,0,0.0,0.0,0,2,0,0,2
11,Robin Koch,5.0,de GER,CB,25-154,90,35,45,77.8,712,282,8,11,72.7,24,29,82.8,3,5,60.0,0,0.0,0.0,0,3,0,0,3
12,Cody Drameh,37.0,eng ENG,RB,20-010,90,45,61,73.8,629,251,20,26,76.9,18,20,90.0,2,4,50.0,0,0.0,0.0,0,3,2,1,4
13,Illan Meslier,1.0,fr FRA,GK,21-291,90,30,37,81.1,733,454,5,5,100.0,15,15,100.0,10,17,58.8,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,344,447,77.0,5441,2271,147,175,84.0,139,160,86.9,30,61,49.2,0,0.8,0.3,6,23,9,2,29
