,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Daniel James,20.0,wls WAL,FW,24-143,58,27,1,2,11,15,8,27,0,0,,0,,12,81,27,1,2,2,3,2,17,10
1,Joe Gelhardt,30.0,eng ENG,FW,19-333,32,22,0,1,10,11,3,22,1,0,0.0,1,100.0,7,25,11,0,0,0,5,0,19,8
2,Jack Harrison,22.0,eng ENG,LW,25-133,90,46,3,7,22,17,3,46,0,0,,0,,19,144,80,2,4,0,2,1,29,4
3,Raphinha,10.0,br BRA,RW,25-109,90,56,0,7,26,23,8,56,2,1,50.0,1,50.0,23,135,92,5,0,1,4,0,44,17
4,Rodrigo,19.0,es ESP,AM,31-027,90,61,3,7,38,16,3,61,0,0,,0,,27,191,127,3,3,1,5,0,47,8
5,Adam Forshaw,4.0,eng ENG,DM,30-176,90,65,2,18,40,10,1,65,1,1,100.0,0,0.0,25,109,50,2,1,1,1,0,30,2
6,Mateusz Klich,43.0,pl POL,DM,31-293,65,40,1,10,18,12,1,40,2,0,0.0,2,100.0,15,82,19,1,0,0,0,1,24,3
7,Kalvin Phillips,23.0,eng ENG,DM,26-121,25,22,1,10,10,2,0,22,0,0,,0,,6,21,2,0,0,0,0,0,10,0
8,Stuart Dallas,15.0,nir NIR,"LB,RB",30-348,90,80,3,23,38,21,3,80,1,1,100.0,0,0.0,29,237,145,3,4,0,2,1,44,3
9,Liam Cooper,6.0,sct SCO,CB,30-215,90,55,8,35,20,0,0,55,0,0,,0,,7,23,6,0,0,0,0,0,17,0
10,Diego Llorente,14.0,es ESP,CB,28-229,90,60,14,37,20,3,1,60,1,1,100.0,0,0.0,15,105,21,0,0,0,0,0,20,0
11,Luke Ayling,2.0,eng ENG,RB,30-220,88,84,7,34,34,16,5,84,0,0,,0,,21,138,96,3,1,1,3,0,36,4
12,Pascal Struijk,21.0,nl NED,"LB,RB",22-234,2,3,1,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
13,Illan Meslier,1.0,fr FRA,GK,22-031,90,39,33,39,0,0,0,39,0,0,,0,,19,119,104,0,0,0,0,0,21,0
14,14 Players,,,,,990,660,77,232,288,146,36,660,8,4,50.0,4,50.0,225,1410,780,20,15,6,25,5,358,59
