,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Phil Foden,47.0,eng ENG,FW,21-200,90,72,1,3,33,36,5,72,4,3,75.0,1,25.0,61,311,98,4,1,3,1,0,64,14
1,Jack Grealish,10.0,eng ENG,LW,26-095,90,58,2,6,19,35,8,58,6,4,66.7,2,33.3,41,428,227,6,9,3,2,0,43,9
2,Riyad Mahrez,26.0,dz ALG,RW,30-296,90,60,0,1,16,44,9,60,8,5,62.5,3,37.5,48,380,174,6,2,5,3,0,43,13
3,Kevin De Bruyne,17.0,be BEL,AM,30-169,90,73,1,3,28,43,7,73,2,2,100.0,0,0.0,49,244,160,2,6,0,0,0,60,5
4,Bernardo Silva,20.0,pt POR,DM,27-126,45,39,0,2,18,19,2,39,2,1,50.0,1,50.0,30,172,52,0,1,0,0,0,30,4
5,İlkay Gündoğan,8.0,de GER,DM,31-051,45,36,0,3,26,9,3,36,1,0,0.0,1,100.0,28,128,40,1,1,1,0,0,28,6
6,Rodri,16.0,es ESP,DM,25-175,55,41,1,4,27,12,2,41,2,0,0.0,2,100.0,30,235,157,4,1,0,1,0,28,3
7,Fernandinho,25.0,br BRA,DM,36-224,35,21,4,5,11,6,0,21,0,0,,0,,13,69,46,1,1,0,1,0,13,1
8,Oleksandr Zinchenko,11.0,ua UKR,LB,24-364,90,64,5,15,30,20,1,64,3,2,66.7,1,33.3,32,174,120,3,4,0,1,1,36,3
9,Aymeric Laporte,14.0,es ESP,CB,27-201,90,107,4,28,74,5,2,107,1,0,0.0,1,100.0,82,536,474,4,3,0,0,0,85,1
10,Rúben Dias,3.0,pt POR,CB,24-214,64,67,5,15,49,3,0,67,0,0,,0,,51,416,368,2,2,0,0,0,60,0
11,Nathan Aké,6.0,nl NED,CB,26-299,26,39,3,16,20,3,1,39,1,0,0.0,1,100.0,34,243,175,1,2,0,0,0,33,0
12,John Stones,5.0,eng ENG,RB,27-200,90,36,3,7,20,9,2,36,1,0,0.0,1,100.0,16,83,36,1,0,0,0,0,19,0
13,Ederson,31.0,br BRA,GK,28-119,90,42,21,42,0,0,0,42,0,0,,0,,34,156,115,0,0,0,0,0,27,0
14,14 Players,,,,,990,755,50,150,371,244,42,755,31,17,54.8,14,45.2,549,3575,2242,35,33,12,9,1,569,59
