,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jack Grealish,10.0,eng ENG,FW,26-134,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
1,Phil Foden,47.0,eng ENG,LW,21-239,90,1,0,1,0,0,0,0,,0,2,0,2,1,2,0,0
2,Raheem Sterling,7.0,eng ENG,RW,27-045,59,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0
3,Gabriel Jesus,9.0,br BRA,RW,24-294,31,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
4,Kevin De Bruyne,17.0,be BEL,LM,30-208,90,2,0,0,1,1,1,1,100.0,0,2,0,2,0,2,0,0
5,Rodri,16.0,es ESP,CM,25-214,90,2,1,0,2,0,0,3,0.0,3,2,0,2,1,3,2,0
6,Bernardo Silva,20.0,pt POR,RM,27-165,90,3,1,0,0,3,3,6,50.0,3,0,0,0,1,4,0,0
7,João Cancelo,27.0,pt POR,LB,27-240,90,3,2,1,1,1,2,2,100.0,0,0,0,0,1,4,0,0
8,Aymeric Laporte,14.0,es ESP,CB,27-240,90,4,1,1,2,1,2,2,100.0,0,1,1,0,1,5,0,0
9,Rúben Dias,3.0,pt POR,CB,24-253,90,2,2,1,1,0,0,0,,0,1,0,1,1,3,1,0
10,Kyle Walker,2.0,eng ENG,RB,31-239,90,2,2,0,2,0,1,1,100.0,0,2,0,2,1,3,1,0
11,Ederson,31.0,br BRA,GK,28-158,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
12,12 Players,,,,,990,21,10,4,11,6,9,17,52.9,8,11,1,10,8,29,5,0
