,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Marcus Rashford,10.0,eng ENG,FW,24-028,76,18,18,0,0,0,1,0,0,0,0,0,0,13,0,0
1,Jesse Lingard,14.0,eng ENG,FW,28-348,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jadon Sancho,25.0,eng ENG,FW,21-248,63,21,21,0,0,0,0,0,0,0,0,0,0,16,0,0
3,Cristiano Ronaldo,7.0,pt POR,FW,36-296,27,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
4,Bruno Fernandes,18.0,pt POR,AM,27-081,88,38,36,2,0,1,0,2,0,0,0,0,0,28,0,2
5,Donny van de Beek,34.0,nl NED,AM,24-224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fred,17.0,br BRA,LM,28-268,90,35,33,2,2,1,0,2,0,0,0,0,0,27,0,0
7,Nemanja Matić,31.0,rs SRB,CM,33-119,90,37,32,4,4,0,0,0,0,0,0,0,0,28,1,1
8,Scott McTominay,39.0,sct SCO,RM,24-355,90,26,26,0,0,0,0,0,0,0,0,0,0,24,0,0
9,Alex Telles,27.0,br BRA,LB,28-348,90,49,36,13,3,0,0,4,8,2,0,2,0,28,0,2
10,Eric Bailly,3.0,ci CIV,CB,27-230,90,26,25,1,1,0,0,0,0,0,0,0,0,24,0,0
11,Victor Lindelöf,2.0,se SWE,CB,27-134,90,25,25,0,0,0,0,0,0,0,0,0,0,18,0,0
12,Aaron Wan-Bissaka,29.0,eng ENG,RB,24-002,90,36,26,10,1,0,0,0,9,0,0,0,0,26,0,3
13,David de Gea,1.0,es ESP,GK,31-021,90,29,11,18,4,0,1,0,0,0,0,0,0,14,0,0
14,14 Players,,,,,990,346,295,50,15,2,2,8,17,2,0,2,0,251,1,8
