,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Cristiano Ronaldo,7.0,pt POR,FW,37-091,90,1,0,0,1,0,1,1,0,0,0,0,0,1,1,3,25.0
1,Bruno Fernandes,18.0,pt POR,"LW,LM,AM",27-241,90,0,0,0,0,3,0,6,0,1,0,0,0,5,0,0,
2,Anthony Elanga,36.0,se SWE,RW,20-010,45,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,
3,Fred,17.0,br BRA,"DM,CM",29-063,45,0,0,0,0,3,0,0,1,3,0,0,0,6,0,0,
4,Juan Mata,8.0,es ESP,AM,34-009,69,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,
5,Harry Maguire,5.0,eng ENG,CB,29-063,21,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,100.0
6,Nemanja Matić,31.0,rs SRB,DM,33-279,45,0,0,0,1,0,0,0,1,3,0,0,0,5,0,0,
7,Edinson Cavani,21.0,uy URU,FW,35-082,45,0,0,0,1,1,2,0,0,0,0,0,0,2,3,1,75.0
8,Scott McTominay,39.0,sct SCO,"DM,RM,CM",25-150,90,0,0,0,5,0,0,0,0,0,0,0,0,6,3,2,60.0
9,Alex Telles,27.0,br BRA,"LB,WB",29-143,90,0,0,0,0,0,0,6,3,0,0,0,0,5,0,1,0.0
10,Raphaël Varane,19.0,fr FRA,CB,29-012,90,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,80.0
11,Victor Lindelöf,2.0,se SWE,CB,27-294,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
12,Diogo Dalot,20.0,pt POR,"RB,WB",23-050,90,1,0,0,1,1,0,7,5,3,0,0,0,9,0,1,0.0
13,David de Gea,1.0,es ESP,GK,31-181,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
14,14 Players,,,,,990,2,0,0,9,12,3,22,11,11,0,0,0,58,13,9,59.1
