,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Teemu Pukki,22.0,fi FIN,FW,31-246,90,19,2,2,4,13,3,19,0,0,,0,,7,34,1,0,0,0,1,2,10,6
1,Christos Tzolis,18.0,gr GRE,LM,19-304,45,16,0,0,6,10,6,16,1,0,0.0,1,100.0,12,45,21,1,0,1,1,0,14,7
2,Pierre Lees-Melou,20.0,fr FRA,AM,28-189,45,26,0,2,11,14,2,26,0,0,,0,,16,111,74,2,1,1,0,0,15,4
3,Kenny McLean,23.0,sct SCO,"CM,LW,LM",29-326,90,51,3,10,22,19,4,51,0,0,,0,,26,172,36,1,1,1,1,1,33,3
4,Billy Gilmour,8.0,sct SCO,"CM,DM,RM",20-172,90,89,0,5,41,43,0,89,0,0,,0,,55,364,245,8,3,0,0,0,67,5
5,Josh Sargent,24.0,us USA,"RM,RW",21-283,66,31,1,7,8,17,3,31,0,0,,0,,14,52,20,0,0,0,2,0,18,5
6,Adam Idah,35.0,ie IRL,"FW,RW",20-292,24,10,0,1,3,6,2,10,1,1,100.0,0,0.0,5,40,12,0,0,0,2,0,8,3
7,Lukas Rupp,7.0,de GER,DM,30-326,90,85,1,12,56,20,2,85,2,2,100.0,0,0.0,55,293,152,4,2,0,3,0,63,3
8,Brandon Williams,21.0,eng ENG,LB,21-088,72,77,2,12,37,28,0,77,1,1,100.0,0,0.0,59,299,180,2,0,0,2,0,55,10
9,Dimitris Giannoulis,30.0,gr GRE,LB,26-044,18,29,0,8,10,11,2,29,1,0,0.0,1,100.0,20,97,48,0,0,0,0,1,21,8
10,Ben Gibson,4.0,eng ENG,CB,28-319,90,98,8,33,60,5,0,98,0,0,,0,,67,482,404,3,4,0,0,0,78,0
11,Grant Hanley,5.0,sct SCO,CB,30-010,90,71,6,21,45,5,3,71,0,0,,0,,42,144,71,0,1,0,0,0,52,0
12,Max Aarons,2.0,eng ENG,RB,21-330,90,92,2,16,31,45,1,92,2,1,50.0,1,50.0,68,517,381,9,7,1,0,1,73,9
13,Tim Krul,1.0,nl NED,GK,33-241,90,23,18,19,4,0,0,23,0,0,,0,,10,37,24,0,0,0,0,0,9,0
14,14 Players,,,,,990,717,43,148,338,236,28,717,8,5,62.5,3,37.5,456,2687,1669,30,19,4,12,5,516,63
