,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Teemu Pukki,22.0,fi FIN,FW,31-257,90,10,20,50.0,170,37,7,13,53.8,2,4,50.0,1,1,100.0,0,0.0,0.0,1,1,0,0,1
1,Josh Sargent,24.0,us USA,LW,21-294,90,16,20,80.0,226,77,7,8,87.5,6,8,75.0,1,2,50.0,0,0.4,0.4,1,0,0,0,1
2,Przemysław Płacheta,11.0,pl POL,RW,23-263,69,17,27,63.0,239,100,8,11,72.7,7,10,70.0,0,2,0.0,0,0.0,0.0,0,0,1,1,0
3,Todd Cantwell,14.0,eng ENG,RW,23-287,21,6,6,100.0,56,6,6,6,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
4,Kenny McLean,23.0,sct SCO,LM,29-337,90,27,41,65.9,494,148,13,15,86.7,10,13,76.9,3,9,33.3,0,0.0,0.0,0,3,2,0,6
5,Billy Gilmour,8.0,sct SCO,CM,20-183,90,62,83,74.7,1085,350,30,35,85.7,19,23,82.6,10,19,52.6,0,0.0,0.1,1,7,3,0,7
6,Lukas Rupp,7.0,de GER,RM,30-337,75,28,34,82.4,317,74,18,21,85.7,6,7,85.7,1,2,50.0,0,0.2,0.4,2,1,0,0,2
7,Pierre Lees-Melou,20.0,fr FRA,RM,28-200,15,9,13,69.2,138,50,4,6,66.7,5,6,83.3,0,0,,0,0.0,0.2,0,1,1,0,2
8,Dimitris Giannoulis,30.0,gr GRE,LB,26-055,90,46,63,73.0,664,330,34,38,89.5,9,15,60.0,3,7,42.9,0,0.2,0.2,2,2,1,1,3
9,Ozan Kabak,15.0,tr TUR,CB,21-261,90,39,43,90.7,648,215,17,18,94.4,17,18,94.4,3,5,60.0,0,0.0,0.0,0,1,0,0,2
10,Grant Hanley,5.0,sct SCO,CB,30-021,20,7,8,87.5,204,24,0,0,,5,5,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0
11,Jakob Sørensen,19.0,dk DEN,CB,23-283,70,35,39,89.7,659,224,11,11,100.0,20,20,100.0,2,5,40.0,0,0.0,0.0,0,2,0,0,3
12,Max Aarons,2.0,eng ENG,RB,21-341,90,48,59,81.4,703,313,29,31,93.5,16,21,76.2,2,4,50.0,0,0.0,0.0,1,3,3,0,7
13,Tim Krul,1.0,nl NED,GK,33-252,90,27,39,69.2,872,619,1,1,100.0,15,15,100.0,11,23,47.8,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,377,495,76.2,6475,2567,185,214,86.4,137,165,83.0,39,82,47.6,0,0.8,1.4,8,21,11,2,34
