,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Teemu Pukki,22.0,fi FIN,FW,31-317,90,8,7,1,0,0,0,0,0,0,0,0,0,4,0,1
1,Adam Idah,35.0,ie IRL,"FW,RM",20-363,83,13,13,0,0,0,0,3,0,0,0,0,0,6,0,1
2,Jon Rowe,46.0,eng ENG,RM,18-285,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Milot Rashica,17.0,xk KVX,LM,25-226,90,15,11,4,0,0,0,7,0,4,2,2,0,7,0,2
4,Kenny McLean,23.0,sct SCO,"CM,DM",30-032,90,27,25,2,1,0,0,0,0,0,0,0,0,15,0,1
5,Pierre Lees-Melou,20.0,fr FRA,CM,28-260,73,31,31,0,0,0,1,0,0,0,0,0,0,24,0,2
6,Mathias Normann,16.0,no NOR,CM,25-257,17,8,7,1,1,0,0,0,0,0,0,0,0,3,0,0
7,Przemysław Płacheta,11.0,pl POL,RM,23-323,63,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
8,Billy Gilmour,8.0,sct SCO,CM,20-243,27,10,9,1,1,0,0,1,0,0,0,0,0,4,0,0
9,Brandon Williams,21.0,eng ENG,LB,21-159,90,50,33,17,3,0,0,0,14,0,0,0,0,28,0,1
10,Ben Gibson,4.0,eng ENG,CB,29-025,90,33,32,1,1,0,0,0,0,0,0,0,0,23,0,0
11,Grant Hanley,5.0,sct SCO,CB,30-081,90,32,29,3,3,0,0,0,0,0,0,0,0,22,0,0
12,Max Aarons,2.0,eng ENG,RB,22-036,90,31,19,11,0,0,0,0,11,0,0,0,0,17,1,2
13,Angus Gunn,28.0,sct SCO,GK,26-018,90,34,18,16,8,0,0,0,0,0,0,0,0,23,0,0
14,14 Players,,,,,990,302,244,57,18,0,1,11,25,4,2,2,0,184,1,10
