,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Teemu Pukki,22.0,fi FIN,FW,31-166,90,0,0,0,1,3,0,0,0,1,0,0,0,2,1,1,50.0
1,Christos Tzolis,18.0,gr GRE,LW,19-224,68,0,0,0,0,1,0,3,0,2,0,0,0,3,0,4,0.0
2,Milot Rashica,17.0,xk KVX,"LM,LW",25-075,22,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0.0
3,Kieran Dowell,10.0,eng ENG,RW,23-336,61,0,0,0,0,0,0,2,0,1,0,0,0,2,1,1,50.0
4,Todd Cantwell,14.0,eng ENG,"RW,RM",23-196,29,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,100.0
5,Kenny McLean,23.0,sct SCO,"LM,CM",29-246,90,0,0,0,0,2,0,0,1,1,0,0,0,3,5,4,55.6
6,Lukas Rupp,7.0,de GER,CM,30-246,79,0,0,0,2,0,0,0,3,0,0,0,0,5,0,1,0.0
7,Adam Idah,35.0,ie IRL,FW,20-212,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
8,Pierre Lees-Melou,20.0,fr FRA,"RM,CM",28-109,90,0,0,0,2,0,0,0,1,1,0,0,0,6,2,0,100.0
9,Brandon Williams,21.0,eng ENG,LB,21-008,90,0,0,0,3,0,0,1,0,4,0,0,0,5,1,2,33.3
10,Grant Hanley,5.0,sct SCO,CB,29-295,90,1,0,0,1,0,0,0,1,0,0,0,0,3,4,2,66.7
11,Andrew Omobamidele,44.0,ie IRL,CB,19-080,90,0,0,0,1,1,0,0,0,1,0,0,0,5,0,2,0.0
12,Max Aarons,2.0,eng ENG,RB,21-250,90,1,0,0,1,1,0,3,2,1,0,0,0,8,1,0,100.0
13,Tim Krul,1.0,nl NED,GK,33-161,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,2,0,0,11,9,0,18,8,13,0,0,0,45,16,19,45.7
