,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Teemu Pukki,22.0,fi FIN,FW,31-173,90,2,1,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0
1,Milot Rashica,17.0,xk KVX,LW,25-082,87,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
2,Adam Idah,35.0,ie IRL,FW,20-219,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
3,Josh Sargent,24.0,us USA,RW,21-210,69,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0
4,Christos Tzolis,18.0,gr GRE,"RW,AM",19-231,21,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
5,Kenny McLean,23.0,sct SCO,"LM,DM",29-253,90,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,3,0
6,Mathias Normann,16.0,no NOR,CM,25-113,69,2,1,1,0,1,1,2,50.0,1,2,0,2,2,4,1,0
7,Todd Cantwell,14.0,eng ENG,"CM,AM",23-203,21,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0
8,Billy Gilmour,8.0,sct SCO,"RM,DM",20-099,90,5,5,3,2,0,4,6,66.7,2,1,0,1,1,6,3,0
9,Brandon Williams,21.0,eng ENG,LB,21-015,90,1,1,1,0,0,0,3,0.0,3,1,0,1,2,3,0,0
10,Grant Hanley,5.0,sct SCO,CB,29-302,90,3,1,1,2,0,0,0,,0,0,0,0,4,7,6,0
11,Ozan Kabak,15.0,tr TUR,CB,21-177,90,0,0,0,0,0,0,1,0.0,1,2,1,1,3,3,3,0
12,Max Aarons,2.0,eng ENG,RB,21-257,90,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0
13,Tim Krul,1.0,nl NED,GK,33-168,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,17,11,7,8,2,8,21,38.1,13,8,1,7,15,32,19,0
