,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-14,17:30 ,Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,1.4,1.6,50,"27,023",Grant Hanley,4-3-3,Andre Marriner,https://fbref.com/en/matches/c52500ad/Norwich-City-Liverpool-August-14-2021-Premier-League,
1,2021-08-21,15:00 ,Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0.1,2.6,33,"51,437",Grant Hanley,4-3-3,Graham Scott,https://fbref.com/en/matches/ab6db0d6/Manchester-City-Norwich-City-August-21-2021-Premier-League,
3,2021-08-28,15:00 ,Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,1.5,1.5,45,"26,765",Grant Hanley,4-3-3,Robert Jones,https://fbref.com/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League,
4,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,0.7,2.7,49,"58,000",Grant Hanley,4-3-3,Michael Oliver,https://fbref.com/en/matches/4ac58f71/Arsenal-Norwich-City-September-11-2021-Premier-League,
5,2021-09-18,15:00 ,Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,1.0,2.4,49,"26,649",Grant Hanley,4-3-3,Robert Jones,https://fbref.com/en/matches/835fa19c/Norwich-City-Watford-September-18-2021-Premier-League,
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,0.5,1.9,53,"38,821",Grant Hanley,5-3-2,David Coote,https://fbref.com/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League,
8,2021-10-02,15:00 ,Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,0.6,1.2,44,"17,427",Grant Hanley,5-3-2,Kevin Friend,https://fbref.com/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League,
9,2021-10-16,15:00 ,Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,1.2,0.8,36,"26,777",Grant Hanley,5-3-2,Peter Bankes,https://fbref.com/en/matches/bc0a1eb5/Norwich-City-Brighton-and-Hove-Albion-October-16-2021-Premier-League,
10,2021-10-23,12:30 ,Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,0.1,3.1,38,"40,113",Grant Hanley,3-5-2,Andy Madley,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League,
11,2021-10-31,14:00 ,Premier League,Matchweek 10,Sun,Home,L,1,2,Leeds United,0.8,0.7,48,"26,913",Grant Hanley,4-4-2,Anthony Taylor,https://fbref.com/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League,
12,2021-11-06,15:00 ,Premier League,Matchweek 11,Sat,Away,W,2,1,Brentford,1.2,2.5,36,"16,837",Ben Gibson,4-2-3-1,Jarred Gillett,https://fbref.com/en/matches/0f029791/Brentford-Norwich-City-November-6-2021-Premier-League,
13,2021-11-20,15:00 ,Premier League,Matchweek 12,Sat,Home,W,2,1,Southampton,0.5,1.0,38,"26,885",Grant Hanley,4-3-3,Martin Atkinson,https://fbref.com/en/matches/4bddaba4/Norwich-City-Southampton-November-20-2021-Premier-League,
14,2021-11-27,15:00 ,Premier League,Matchweek 13,Sat,Home,D,0,0,Wolves,1.6,0.3,43,"26,911",Grant Hanley,4-1-4-1,Simon Hooper,https://fbref.com/en/matches/ff3bd755/Norwich-City-Wolverhampton-Wanderers-November-27-2021-Premier-League,
15,2021-11-30,19:30 ,Premier League,Matchweek 14,Tue,Away,D,1,1,Newcastle Utd,1.2,1.1,68,"50,757",Grant Hanley,4-1-4-1,Andy Madley,https://fbref.com/en/matches/ce4d873f/Newcastle-United-Norwich-City-November-30-2021-Premier-League,
16,2021-12-05,14:00 ,Premier League,Matchweek 15,Sun,Away,L,0,3,Tottenham,1.2,1.6,59,"57,088",Grant Hanley,5-3-2,Jarred Gillett,https://fbref.com/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League,
17,2021-12-11,17:30 ,Premier League,Matchweek 16,Sat,Home,L,0,1,Manchester Utd,1.2,2.0,48,"27,606",Grant Hanley,4-3-3,Darren England,https://fbref.com/en/matches/11a67612/Norwich-City-Manchester-United-December-11-2021-Premier-League,
18,2021-12-14,19:45 ,Premier League,Matchweek 17,Tue,Home,L,0,2,Aston Villa,0.5,2.0,50,"26,836",Ben Gibson,4-3-3,David Coote,https://fbref.com/en/matches/c78a1d7d/Norwich-City-Aston-Villa-December-14-2021-Premier-League,
19,2021-12-26,15:00 ,Premier League,Matchweek 19,Sun,Home,L,0,5,Arsenal,0.1,2.5,36,"26,940",Ben Gibson,4-2-3-1,Graham Scott,https://fbref.com/en/matches/83ce723b/Norwich-City-Arsenal-December-26-2021-Premier-League,
20,2021-12-28,15:00 ,Premier League,Matchweek 20,Tue,Away,L,0,3,Crystal Palace,0.9,1.9,49,"24,433",Ben Gibson,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/59ef01ea/Crystal-Palace-Norwich-City-December-28-2021-Premier-League,
22,2022-01-12,19:45 ,Premier League,Matchweek 18,Wed,Away,L,0,2,West Ham,0.3,2.5,38,"59,775",Grant Hanley,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/7d53d1ea/West-Ham-United-Norwich-City-January-12-2022-Premier-League,
23,2022-01-15,15:00 ,Premier League,Matchweek 22,Sat,Home,W,2,1,Everton,1.0,0.6,41,"26,629",Grant Hanley,4-4-2,Andy Madley,https://fbref.com/en/matches/4574a1a6/Norwich-City-Everton-January-15-2022-Premier-League,
24,2022-01-21,20:00 ,Premier League,Matchweek 23,Fri,Away,W,3,0,Watford,1.1,1.2,33,"20,782",Grant Hanley,4-4-2,Mike Dean,https://fbref.com/en/matches/5c592680/Watford-Norwich-City-January-21-2022-Premier-League,
26,2022-02-09,19:45 ,Premier League,Matchweek 24,Wed,Home,D,1,1,Crystal Palace,0.4,1.3,30,"26,652",Grant Hanley,4-4-2,Paul Tierney,https://fbref.com/en/matches/22d9fbc9/Norwich-City-Crystal-Palace-February-9-2022-Premier-League,
27,2022-02-12,17:30 ,Premier League,Matchweek 25,Sat,Home,L,0,4,Manchester City,0.4,4.6,29,"27,010",Grant Hanley,4-3-3,Andre Marriner,https://fbref.com/en/matches/522300d0/Norwich-City-Manchester-City-February-12-2022-Premier-League,
28,2022-02-19,15:00 ,Premier League,Matchweek 26,Sat,Away,L,1,3,Liverpool,0.6,3.6,31,"53,135",Grant Hanley,4-3-3,Mike Dean,https://fbref.com/en/matches/700c9eaf/Liverpool-Norwich-City-February-19-2022-Premier-League,
29,2022-02-25,20:00 ,Premier League,Matchweek 27,Fri,Away,L,0,2,Southampton,0.6,2.6,42,"31,182",Grant Hanley,4-1-4-1,Simon Hooper,https://fbref.com/en/matches/17c79d36/Southampton-Norwich-City-February-25-2022-Premier-League,
