,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Harry Kane,10.0,eng ENG,FW,28-277,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
1,Son Heung-min,7.0,kr KOR,LW,29-297,81,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
2,Steven Bergwijn,23.0,nl NED,LW,24-205,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Lucas Moura,27.0,br BRA,RW,29-261,54,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0
4,Dejan Kulusevski,21.0,se SWE,RW,22-006,36,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
5,Ryan Sessegnon,19.0,eng ENG,LM,21-348,90,3,2,1,1,1,2,4,50.0,2,4,0,4,1,4,3,0
6,Pierre Højbjerg,5.0,dk DEN,CM,26-269,90,2,1,0,2,0,1,3,33.3,2,3,0,3,2,4,2,0
7,Rodrigo Bentancur,30.0,uy URU,CM,24-310,81,4,4,1,1,2,2,2,100.0,0,0,0,0,3,7,1,0
8,Harry Winks,8.0,eng ENG,CM,26-088,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
9,Emerson,12.0,br BRA,RM,23-107,90,3,2,1,2,0,0,1,0.0,1,1,0,1,1,4,3,0
10,Ben Davies,33.0,wls WAL,CB,29-007,90,2,1,1,1,0,1,1,100.0,0,1,0,1,2,4,2,0
11,Eric Dier,15.0,eng ENG,CB,28-106,90,1,1,0,1,0,0,0,,0,2,1,1,1,2,8,0
12,Cristian Romero,4.0,ar ARG,CB,24-004,90,3,2,1,2,0,2,2,100.0,0,0,0,0,3,6,6,0
13,Hugo Lloris,1.0,fr FRA,GK,35-126,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
14,14 Players,,,,,990,20,14,5,12,3,8,16,50.0,8,14,1,13,15,35,25,0
