,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Michail Antonio,9.0,jm JAM,FW,31-300,90,23,22,1,1,0,1,1,0,0,0,0,0,9,0,1
1,Pablo Fornals,8.0,es ESP,LW,25-334,90,34,33,1,0,0,0,2,0,1,1,0,0,29,0,0
2,Jarrod Bowen,20.0,eng ENG,RW,25-033,90,25,24,1,0,0,0,2,0,1,1,0,0,17,0,2
3,Manuel Lanzini,10.0,ar ARG,AM,28-341,90,50,47,3,1,0,0,1,0,0,0,0,0,45,0,0
4,Declan Rice,41.0,eng ENG,DM,23-008,90,62,60,1,1,0,1,3,0,0,0,0,0,56,1,1
5,Tomáš Souček,28.0,cz CZE,DM,26-329,90,40,38,2,2,0,0,0,0,0,0,0,0,26,0,2
6,Aaron Cresswell,3.0,eng ENG,LB,32-038,90,52,39,13,2,0,1,3,10,1,0,1,0,38,0,2
7,Kurt Zouma,4.0,fr FRA,CB,27-087,90,35,34,1,1,0,0,0,0,0,0,0,0,29,0,0
8,Craig Dawson,15.0,eng ENG,CB,31-261,90,39,37,2,2,0,1,0,0,0,0,0,0,30,0,1
9,Vladimír Coufal,5.0,cz CZE,RB,29-153,69,46,36,10,0,0,1,1,10,0,0,0,0,26,0,1
10,Ryan Fredericks,24.0,eng ENG,RB,29-104,21,6,6,0,0,0,0,2,0,0,0,0,0,2,0,0
11,Alphonse Areola,13.0,fr FRA,GK,28-329,90,40,23,17,3,0,0,0,0,0,0,0,0,21,0,0
12,12 Players,,,,,990,452,399,52,13,0,5,15,20,3,2,1,0,328,1,10
