,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Michail Antonio,9.0,jm JAM,FW,32-048,89,0,0,0,2,1,0,2,0,0,0,0,0,5,2,2,50.0
1,Andriy Yarmolenko,7.0,ua UKR,FW,32-204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Pablo Fornals,8.0,es ESP,LW,26-082,89,0,0,0,0,0,0,3,2,2,0,0,0,11,0,1,0.0
3,Ben Johnson,31.0,eng ENG,CB,22-111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Jarrod Bowen,20.0,eng ENG,"RW,RM",25-146,90,1,0,0,1,1,1,3,1,1,0,0,0,4,2,1,66.7
5,Manuel Lanzini,10.0,ar ARG,AM,29-089,76,0,0,0,0,1,0,1,4,0,0,0,0,4,0,0,
6,Mark Noble,16.0,eng ENG,"AM,CM",35-007,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,Declan Rice,41.0,eng ENG,"DM,LM",23-121,90,0,0,0,0,0,0,1,3,3,0,0,0,2,3,1,75.0
8,Tomáš Souček,28.0,cz CZE,"DM,CM",27-077,90,0,0,0,0,0,0,1,1,0,0,0,0,4,5,8,38.5
9,Aaron Cresswell,3.0,eng ENG,LB,32-151,90,0,0,0,1,0,0,1,1,1,0,0,0,4,1,3,25.0
10,Kurt Zouma,4.0,fr FRA,CB,27-200,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
11,Craig Dawson,15.0,eng ENG,CB,32-009,90,0,0,0,3,0,0,0,0,0,0,1,0,2,4,0,100.0
12,Vladimír Coufal,5.0,cz CZE,RB,29-266,90,1,0,0,2,1,0,1,0,0,0,0,1,3,1,2,33.3
13,Łukasz Fabiański,1.0,pl POL,GK,37-027,90,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,3,0,0,9,5,1,13,13,7,0,1,1,41,18,19,48.6
