,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Leandro Trossard,19.0,be BEL,FW,28-098,76,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,0,0
1,Gabriel Jesus,9.0,br BRA,FW,25-343,14,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
2,Gabriel Martinelli,11.0,br BRA,LW,21-267,76,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
3,Fabio Vieira,21.0,pt POR,RW,22-286,14,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
4,Bukayo Saka,7.0,eng ENG,RW,21-188,71,2,1,1,0,1,2,3,66.7,1,0,0,0,0,2,1,0
5,Reiss Nelson,24.0,eng ENG,"LW,RW",23-092,19,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0
6,Granit Xhaka,34.0,ch SUI,LM,30-166,90,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,1,0
7,Thomas Partey,5.0,gh GHA,CM,29-272,90,2,1,0,2,0,1,3,33.3,2,2,1,1,2,4,2,0
8,Martin Ødegaard,8.0,no NOR,RM,24-085,90,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
9,Oleksandr Zinchenko,35.0,ua UKR,LB,26-087,71,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
10,Kieran Tierney,3.0,sct SCO,LB,25-280,19,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
11,Gabriel Dos Santos,6.0,br BRA,CB,25-083,90,2,1,1,1,0,1,2,50.0,1,2,1,1,0,2,2,0
12,William Saliba,12.0,fr FRA,CB,21-353,90,4,3,4,0,0,1,1,100.0,0,2,2,0,1,5,7,0
13,Ben White,4.0,eng ENG,RB,25-155,79,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
14,Takehiro Tomiyasu,18.0,jp JPN,RB,24-127,11,3,2,1,2,0,1,1,100.0,0,0,0,0,0,3,0,0
15,Aaron Ramsdale,1.0,eng ENG,GK,24-302,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
16,16 Players,,,,,990,20,14,11,8,1,11,21,52.4,10,11,4,7,5,25,17,1
