,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Ollie Watkins,11.0,eng ENG,FW,27-014,31,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Danny Ings,9.0,eng ENG,FW,30-174,59,13,13,0,0,0,0,0,0,0,0,0,0,7,0,2
2,Emi Buendía,10.0,ar ARG,"FW,AM",26-019,80,21,20,1,0,0,0,0,0,0,0,0,0,16,0,1
3,Philippe Coutinho,23.0,br BRA,LM,30-215,10,9,8,1,0,0,0,0,0,0,0,0,0,5,0,1
4,Jacob Ramsey,41.0,eng ENG,"LM,LW",21-230,80,26,25,1,1,0,0,0,0,0,0,0,0,22,0,1
5,Morgan Sanson,8.0,fr FRA,RM,28-148,10,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
6,Boubacar Kamara,44.0,fr FRA,"CM,DM",23-051,90,56,53,3,3,0,1,0,0,0,0,0,0,45,0,1
7,Douglas Luiz,6.0,br BRA,"CM,DM",24-249,90,49,45,4,4,1,0,1,0,0,0,0,0,35,0,0
8,Leon Bailey,31.0,jm JAM,"RM,RW,FW",25-157,90,18,18,0,0,0,0,1,0,0,0,0,0,13,0,1
9,Lucas Digne,27.0,fr FRA,LB,29-177,9,4,2,2,0,0,0,0,2,0,0,0,0,3,0,0
10,Álex Moreno,15.0,es ESP,LB,29-219,81,60,48,12,3,0,0,2,9,0,0,0,0,40,0,1
11,Tyrone Mings,5.0,eng ENG,CB,29-306,90,46,44,1,0,0,0,0,1,0,0,0,0,34,1,1
12,Ezri Konsa,4.0,eng ENG,CB,25-082,90,55,53,1,1,0,1,0,0,0,0,0,0,44,1,1
13,Ashley Young,18.0,eng ENG,RB,37-188,90,49,30,19,4,0,0,0,15,0,0,0,0,27,0,3
14,Emiliano Martínez,1.0,ar ARG,GK,30-133,90,56,43,13,7,0,1,0,0,0,0,0,0,42,0,0
15,15 Players,,,,,990,468,408,58,23,1,3,4,27,0,0,0,0,336,2,13
